School Name,CanopyID,Formatted disclosable nominator list,Displayed in Portal?,Reason for nominating (from Nominations)
CICS West Belden,35,Next Generation Learning Challenges,Spring 2024,
Cesar E. Chávez Multicultural Academic Center,233,Clayton Christensen Institute,Spring 2024,
Conservatory Lab Charter School,48,Center for Artistry and Scholarship,Spring 2024,
Charlotte Lab School,32,Digital Learning Institute,Spring 2024,"Since our founding in 2015, Charlotte Lab School has been committed to adopting and modeling a habit of innovation - keeping the changing needs of our students at the forefront of all decisions related to curriculum, programs, and policies. Grounded in this student-centered approach are the principles that guide how we approach our work and each other. We call it The Lab Way., The school is committed to adopting and modeling a habit of innovation, keeping the changing needs of students at the forefront of all decisions related to curriculum, programs, and policies. It has a student-centered focus on the whole child, with learning personalized to each student's needs and opportunities for real-world experiences.  One of their signature practices are Quests, which challenge-based courses and projects, which are interdisciplinary and enable students to discuss and collaboratively develop solutions for real-world challenges. These Quests provide students with exposure to current events, history, science content, math, literacy skills, and valuable life skills. Their high school is also creating professional learning opportunities through internships and client projects.  The school's program is highly individualized, allowing students to pursue their interests."
Ember Charter School for Mindful Education; Innovation; and Transformation,66,multiple anonymous organizations,Spring 2024,
Design Tech High School,56,Next Generation Learning Challenges,Spring 2024,"d.tech leverages a strong design thinking approach, lots of cllege and career prep, extracurriculars"
Siloam Springs High School Conversion Charter,184,Arkansas Team Digital,Spring 2024,
West Side Collaborative Middle School,223,Competency Collaborative,Spring 2024,
The NET Charter High School: Gentilly,205,"Big Picture Learning, YouthForce Nola, EdSurge",Spring 2024,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves."
Da Vinci RISE High,256,Springpoint Schools,Spring 2024,"Da Vinci RISE uses a responsive and hollistic approach to meet the unique needs of students navigating foster care, housing instability, and other circumstances that have disrupted their schoolsing. They offer flexible scheduling, blended learning, credit recovery, and wraparound services to provide an equitable education for students traditionally left out of the larger educational narrative., Da Vinci RISE High microschools (Los Angeles, CA) are a non-profit designed to serve foster and homeless youth. They ensure students traditionally left out of the greater educational narrative receive full access to Da Vinci School’s innovative academic model while receiving vital, whole-child, trauma-informed support. , Da Vinci RISE serves high school-aged youth that are navigating foster care, housing instability, probation, and/or other circumstances by offering a flex-scheduling, credit recovery learning model. Teachers at this school have also started implementing ""Project Leo,"" an in-house project-based learning platform that leverages AI to suggest project ideas for students., Da Vinci RISE High seeks to create a highly responsive, holistic, and integrated model that meets the unique needs of youth navigating foster care, housing instability, probation, and/or other circumstances that have caused disruptions in their academic journeys., DaVinci Schools take a completely student-centered approach across all of their models, both on-campus and hybrid. Learning is purposeful, experiential, rigorous, and engaging. They have developed a strong community within each school, supported by deep relationships among students and teachers alike. They have a tremendous learning mentality -- they are ceaselessly seeking to improve, when already they provide a learning and developmental experience to kids that should be a model for the entire nation., Designed for youth dealing with homelessness, foster care, housing instability, the juvenile justice system, and transient living, Da Vinci RISE embraces flexibility, eliminating penalties for seat time non-compliance and offering credit recovery models for remote learning. The Graduate Profile focuses on key attributes, ensuring students not only gain post-secondary content knowledge but also develop hands-on skills. Da Vinci RISE's commitment to equity creates an environment where every student, regardless of challenges, can flourish academically and personally."
Nawayee Center School,313,Education Reimagined,Spring 2024,
The Net: Central City,361,"Big Picture Learning, YouthForce Nola",Spring 2024,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves."
Central Vermont Career Center,389,Vermont Agency of Education,Spring 2024,"As a local control state, when Vermont transitioned to proficiency based graduation requirements, each school district was left to develop its own specific requirements, informed by resources provided by the Agency of Education. Vermont's regional technical centers serve students from multiple school districts. As the high schools in the CTE centers' service regions adopted proficiency based graduation requirements, CTE centers quickly discovered that the learning students did in their CTE programs of study were recognized and transcripted differently at each sending high school. For example, for students in an electrical technology program, some high schools applied the students' CTE learning toward science proficiency requirements, some toward math proficiency requirements, some only to transferable skills proficiency requirements, and others to all three. As a result, students who were working side-by-side in classrooms, labs, and shops, mastering the same technical content, were facing inequities in how their CTE learning did or did not support their work toward high school graduation.   Central Vermont Career Center (CVCC)saw these inequities at play and spent three years working to address and overcome them. They began by aligning their CTE program curricula to the Vermont Agency of Education's Sample Graduation Proficiencies. Their STEM Coordinator worked with each CTE program to identify the math and science content in the curriculum, including industry recognized credentials, dual enrollment courses, and state licensure exams, and cross-walk them to proficiency based graduation requirements. The Center's Literacy Coordinator did the alignment to English Language Arts/Literacy proficiencies. At the same time, Central Vermont Career Center's administrators dedicated significant staff professional development time to support this work. For the first two years, CVCC contracted with the Southern Regional Education Board to bring in a CTE math specialist who worked with teachers to assess their math instruction and to bring added rigor to their math lessons. During the third year of this process, CVCC partnered with the Vermont State College system to offer a 2 credit course for faculty to develop shared practices and resources for integrating literacy in all CTE program curricula, again aligned to the state's sample proficiency based graduation requirements.   At the same time, CVCC assessed all students' math, reading, and writing skills at the beginning and end of each school year and analyzed data at both the program and center-wide levels.   This cumulative body of work was shared with the Barre Unified Union School District's Curriculum Director, who in turn held a series of meetings with her colleagues in the six supervisory unions/school districts that send students to CVCC. At the end of that process, and after three years of scaffolded, deliberate work, all six sending high schools agreed on a matrix that identifies proficiency base graduation requirements by CTE program area, ensuring that every student in a given program will have their sending high school transcript their CTE learning in the same way and document their meeting of proficiency based graduation requirements through successful CTE program completion. "
Missisquoi Valley Union Middle and High School,395,Vermont Agency of Education,Spring 2024,"The leadership team at Missisquoi Valley Union (MVU) Middle and High School was able to hold two preliminary meetings and a train-the-trainer workshop focused on equity literacy with Paul Gorski. All members of the MVU Diversity, Equity and Inclusion Committee (DEI) Committee have a solid understanding of the principles and practices of equity literacy in education.  Educators from Swanton and Sheldon were intensively introduced to these principles and practices.  At MVU, several members of the DEI Committee feel fully prepared to plan and offer equity literacy professional learning to the staff. Additionally, an equity student survey was created, and feedback provided by the Equity Literacy Institute.  Educators secured funding to get the results of the survey professionally analyzed through an equity lens.   MVU has met the expectation of Proficiency-Based Learning with a thoughtful transition.  Early work was done 7 years ago to prioritize standards and create clear learning expectations, learning scales for common summative assessments, and school-wide habits of work.  Over the past 4 years, educators have implemented a more refined version of proficiency-based learning which includes a transition to proficiency-based grades, personalized course offerings, and robust and flexible �keeping up and catching up� interventions.  As a highlight, the English Language Arts department has wholeheartedly embraced independent reading.  Students now meet their reading proficiencies by providing evidence from books that they choose.  Over the past 5 years, MVU has intentionally designed programming and interventions that prioritize students who struggle academically so that all students achieve at high levels.  Most recently, educators have invested in learning about the Equity Literacy model in order to ensure that they address the needs of historically marginalized students.  This work began with a Diversity, Equity and Inclusion Committee, which started as a group of committed and passionate teachers and has grown to impact and influence the broader school community and district.  The committee pursued grant funding to acquire training to become Equity Literacy trainers and bring the Equity Literacy model to the entire faculty. In the process, the high school committee formed partnerships with two local elementary schools and the Abenaki community. Though COVID has delayed training the rest of faculty in Equity Literacy, the DEI Committee has been busy at work to bring their Equity Literacy lens to the culture and operations of the school. Recent Work: �	Facilitate and support a student DEI group. �	Collaborate with the Pride Alliance and National Arts Honor Society to have students paint a rainbow crosswalk at the school entrance. �	Provide resource guides to teachers to help students process racial unrest in April and the election in November. Current Work: �	Reviewing the Social Awareness portion of the MVSD SEL Competency Guide to recommend strategies that are equity minded and promote equity. �	Collaborating with students to have a Land Acknowledgement as part of the schoolwide routine. �	Supporting students in their efforts to fly the Black Lives Matter flag at school. Work that is being planning: �	Administering an Equity survey to students and then analyzing the data. �	Begin Equity student focus groups. �	Begin an Equity Competency framework.   As a result of the transition away from traditional grades to proficiency-based grades, educators are thinking about how we recognize and acknowledge students. They are working to expand measures of success. �	MVSD has developed and is implementing PK-adult SEL competencies. Teachers are exploring and trying strategies now.  They are beginning to plan for how to communicate student progress on these skills to students and families. �	In grades 9 and 10, MVU offers an Honors Credential instead of tracking students in homogenous groups.  Students are heterogeneously grouped but can opt into an Honors supplement, which runs as an addition to the core class.  The Honors Credential focuses on the content and work habits that students will need to be successful in college. �	The ELA department also created two Senior level English courses to help prepare students for a variety of future choices. One class was a College Writing class, where students are taught how to be successful in their college courses. The other is Technical Reading and Writing, which is a course that focuses on reading and writing skills that are used in the workforce and at trade schools.   MVU has several course offerings that use a project-based learning approach. Humanities in Action is an option that students can take to demonstrate proficiency in ELA or Social Studies.  Students conduct a sustained inquiry, engage in problem solving, and share their findings with their peers and sometimes the greater community.  In the Agriculture program, students in the Animal Science strand identify an animal that they are interested in learning more about. Faculty then acquire that animal, usually on loan, to house in the barn at MVY so that the student can learn firsthand about the animal through observation and caring for it. Additionally, students at all grade levels participate in a robust STEM Fair.  Students conduct sustained, independent research projects that focus on the Science and Engineering Practices in the NGSS.  MVSD has developed the first set of Social and Emotional Learning competencies in the state of Vermont.  In a collaboration with CASEL, the SEL team developed a framework of skills, goals, and sub-goals, benchmarks, and strategies for PK through adults.  Teachers use these competencies to plan lessons that incorporate CASEL�s 3 signature practices of Welcome Activities, Engaging Strategies, and Optimistic Closings.  MVU is in its 4th year of working with Think: Kids and using the Collaborative Problem-Solving approach with students.  Three staff are training to become certified Think: Kids trainers in order to grow the capacity to use Collaborative Problem Solving schoolwide. "
Yu Ming Charter School,415,Diverse Charter Schools Coalition,Spring 2024,"Yu Ming is a diverse, joyful and caring community where students are inspired and engaged by learning experiences that are purposeful, rigorous, and personalized. They are a member of the Diverse Charter Schools Coalition and have hosted two fellows through the UnifiED School Launch Program Fellowship., Yu Ming's Mandarin Immersion model consists of 4 pillars; academic excellence, Mandarin Immersion leadership, whole child education, and a diverse, equitable and inclusive community. We aim to make a world class bilingual education accessible to our diverse community."
Promise Academy,425,EmpowerK12,Spring 2024,"KIPP DC Promise Academy has certainly received its share of well-deserved accolades from us as a four-time Bold Performance school, as a National Blue Ribbon school, and one of three schools rated 5-stars (top rating) east of the Anacostia river among DC's poorest neighborhoods. However, I think they definitely should be included on Canopy's list, especially for those individuals looking for strategies to support math growth for low-income Black students in lower elementary grades. Promise's students posted 2019 math achievement rates higher than schools in DC's predominantly white and affluent Ward 3. The team's approach to morning-afternoon split math instruction is fairly novel. Educators teach a lesson in the morning and utilize data from exit tickets to design the afternoon's math activities. The school's extended day and year structure affords the time needed to turn data into action that ultimately closes historic racial and socioeconomic achievement gaps."
Jasper High School,439,Arkansas Team Digital,Spring 2024,"Jasper High School is doing an excellent job of implementing a flex model of blended learning to meet students' needs. They give students voice and choice in their learning through instructional opportunities, both online and in-person. Their campus has provided students flexibility in their learning and has designated two days a week as flex days that allow for more targeted instruction. The alternating between face-to-face and online learning provides educators with more opportunities to meet the small group or individually for students in need. Each student is also provided a mentor who helps them determine pathways to reach their individual learning goals. This flexible model has been instrumental in the educational growth of their school.  "
Mālama Honua Public Charter School,447,an anonymous organization,Spring 2024,"Culturally Relevant Assessment Community and Hawaiian focus ""Our founders, Nainoa Thompson and Robert Witt envisioned a school whose mission was to create leaders who embodied the attributes of The Mind of the Navigator and the values of the World Wide Voyage. Developing of the Mind of the Navigator will be achieved through place based, project based authentic learning experiences. Guided by our Core Values and keeping students at the core of our decision-making, we strive to develop learners who can set, plot, and successfully navigate the many voyages they will have in life while being grounded and confident in their cultural identity. We want our learners to persevere and know that if they take a wrong turn, they can right their wa?a and accomplish what they set out to do. We prioritize ?ohana and community involvement and strive to create a school where as a �village� we lead, learn and act with compassion, continuously educating our selves while facilitating the education of our keiki.""   - from their website   "
Da Vinci Science,469,Moonshot EdVentures,Spring 2024,"Our fellows visited Da Vinci schools in person last year and virtually this year, and we're consistently impressed and inspired by the project based learning that is happening. We've interviewed and visited with students and staff via panels, and it is clear that people love to work there, want to work there long term, and that students have agency and choice in their education. Students engage in learning through exhibitions and projects that are rigorous and aligned to real world issues and problems., Students enrolled at the Da Vinci high school have the opportunity to pursue various tracks in either the communications, design, or science tracks and often learn through project-based learning. Teachers at this school have also started implementing ""Project Leo,"" an in-house project-based learning platform that leverages AI to suggest project ideas for students., DaVinci Schools take a completely student-centered approach across all of their models, both on-campus and hybrid. Learning is purposeful, experiential, rigorous, and engaging. They have developed a strong community within each school, supported by deep relationships among students and teachers alike. They have a tremendous learning mentality -- they are ceaselessly seeking to improve, when already they provide a learning and developmental experience to kids that should be a model for the entire nation."
Woodstock Union Middle/High School,471,Vermont Agency of Education,Spring 2024,"The Windsor Central leadership team began the process of developing a Portrait of a Graduate and related strategic plan during the 2018-2019 school year. This effort allowed students, parents, educators, and community members in the newly formed Windsor Central Modified Unified Union District to collectively construct a vision of their graduates and a plan for enabling learners to meet those expectations. The strategic plan that was developed provides a clear roadmap with the Portrait of a Graduate being their �north star.� Leadership recognized the importance of engaging multiple stakeholders in a meaningful process to achieve positive change. I was fortunate to be able to attend sessions and observe the high-level of commitment by all involved.   A systems perspective is also evident in Windsor Central�s strategic plan through intentional connections between strategies and the Portrait of a Graduate competencies. For instance, Strategy 1.2 states, �Achieve a high level of math proficiency for all students through curriculum review, classroom instructional practices, professional development, and robust interventions so that all students reach their full potential.� The related Portrait Competency, Academic Excellence, is identified in order to ensure coherence between strategies and competencies.   At the classroom level, the Portrait of a Graduate (PoG) is driving K-12 deeper learning. A variety of modes, such as project-based learning, are used to enable students to meet the competencies described within the Portrait. The focus on deeper learning within project-based learning is a clear motivator for educators. A deeper learning group created a booklet to support high-quality projects. This �Teacher�s Toolkit� is aimed at providing strategies for fostering skills and dispositions within the PoG. It was developed by educators as a resource to bring the PoG to life in classrooms. The three strategies include:  1.	Increasing student voice and choice in our classrooms;  2.	Infusing learning with robust routines of critique, revision, and reflection; and 3.	Creating public products for authentic audiences.  Additionally, professional learning opportunities designed by educators were provided for classroom teachers. The intent was to provide a collaborative space for deeper learning and design in the spring that would enable participants to plan for the new school year and build capacity within schools. The foundational goals included:  ?	Create a culture of �Deep Learning� in tone, vibe, excitement across age groups; ?	Foster collaboration between participants across grade levels; ?	Understand that Deep Learning is a RESULT of teacher choices; ?	Connect Deep learning to the PoG; ?	Develop a list of �instructional lenses�;  ?	Reflect on current practice: How am I already promoting the PoG; and  ?	Develop a sense of remote AND deep learning.   A collaborative effort between the Marsh Billings National Historic Park, the Upper Valley Teaching Place Collaborative, and Windsor Central has resulted in opportunities for place-based education with the goal of connecting students to place, culture and social-historical connections to place. One project has been focused on Naturalist Backpacks. Naturalist Backpacks� tools allow children to take a close look at the world around them. Place-based learning supports the development of a sense of wonder, grows students� social-emotional skills, increases engagement, and builds a better understanding of the world.   Windsor Central Unified Union School District has engaged in racial equity work with the support of Writing Wrongs, LLC. The Windsor Central School Board�s anti-racist work is focused on creating anti-racist policy. They have received a grant to dig further into current anti-racist efforts, starting with school board members and leadership within the system. An equity audit will be used to gather data regarding the current status.   The Leadership Team commits to adopting a more visible stance of active listening, collective learning, internal reflection, and critical evaluation of current practice. This stance and any action plans will be developed with the help of partnerships with individuals and organizations centered on this work to expose systemic racism embedded in our educational system. Leadership commits to providing students with an education that is explicitly anti-racist and refuses to turn away from the hard truths of our history. "
EdVisions Off Campus School,474,Education Evolving,Spring 2024,"EdVisions Off Campus (EOC) is an online individualized project based teacher-powered school. EOC has created a unique program that allows students to work on individualized projects to pursue their interests and passions with the support of staff and peers in a real time online experience. Students have advisory field trips five times per year, all school gatherings twice per year and can participate in experiential trips each year such as: camping in the Florida Everglades, touring London, or exploring San Francisco. "
West Michigan Virtual Academy,478,MiCoOp,Spring 2024,"Not many virtual schools offer a drop-in center for middle school students. West Michigan Virtual Academy (WMVA) serves middle and high school students, grades 6-12. When the school first opened, neighboring districts did not want the school there, but are now sending students to WMVA who need a more personalized approach that they cannot offer. Probation officers and juvenile homes also refer youth to their school. Now in their 11th year, WMVA is averaging 50 graduates a year. Based on graduate surveys, the school has found that 53% felt strongly they would probably not have graduated if they attended a traditional high school, but after attending WMVA, 80% had a plan for what they wanted to accomplish after graduation.  WMVA was the first virtual school in the state to hire a full-time social worker. The social worker helps students, many of them at-risk, manage life skills as well as their academic success. Their students suffer from social or school anxiety, panic attacks, abuse (emotional, physical or sexual), bullying (both virtual and physical), LGBTQ issues, and depression. The school also serves students with oppositional defiance disorders, obsessive-compulsive disorders, Tourettes, and others that may make it challenging to attend a traditional school. Through the work of the social worker, WMVA is able to assist students in reducing or removing barriers so they can successfully complete their education. To accomplish this, the social worker works with teachers to provide training around students� social and emotional needs. Staff is also going through anti-racism training. Even though they are a virtual school, WMVA provides food for the students that come to the drop-in center through a partnership with the Southwest Michigan Food Bank.  Their drop-in center is located at the city�s recreation center so WMVA has the ability to offer their virtual lifetime fitness classes with an in-person component. They also offer optional career field trips and guest speakers for all 300 students. Before COVID, the drop-in lab would regularly see 30-40 students who came in for assistance, many of them showing up multiple times a week. WMVA also has partnerships with the local career tech center and three local colleges where students can earn career skills and/or college credits. "
Mead Senior High School,536,Mastery Transcript Consortium,Spring 2024,"This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates., This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates."
Build UP,606,Transcend,Spring 2024,"Build UP is one of the nation’s first early-college workforce development high schools. Students from targeted neighborhoods enroll and build career-ready skills through paid apprenticeships with industry-focused high school and college coursework. Students finish with a high school diploma, industry credential, associate 
degree, and homeownership of the house they rebuilt during their Build UP time through a zero-percent interest loan. Build UP structures an educational pathway, provides wealth through homeownership of a duplex that generates passive income, and helps youth gain stable careers with incentives to stay and invest in their local communities, leading to long-term revitalization.

Build UP partners with local Birmingham community organizations to protect historically Black neighborhoods from gentrification. The program began with the Ensley neighborhood and this year launched in Titusville. Build UP is working with Navigate Affordable Housing Partners and the Titusville Development Corporation (TDC), Blight Free Birmingham, and Common Thread Community to increase resident ownership and investment in neighborhood improvements., ​Build UP has an early college workforce development model that enables low-income youth to develop career-ready skills while revitalizing their community and gaining homeownership."
Da Vinci Connect,621,NewSchools Venture Fund,Spring 2024,"The school's merging technology with strong relationship building to support., engage and teach students through a hybrid (virtual and in-person) environment. Through their partnerships with industiry leaders and colleges, students are able to leverage their time to both earn early college credit and work experience b4 graduating high school. The CMO works closely with their authorizing district to share learning. Their model was ahead of the game when it came for being ready for an event like covid., Da Vinci Connect High School is a public school that combines in-person and remote learning.  Students can get a jump start on college by earning a two- or four-year college degree while in high school, for free!, DaVinci Schools take a completely student-centered approach across all of their models, both on-campus and hybrid. Learning is purposeful, experiential, rigorous, and engaging. They have developed a strong community within each school, supported by deep relationships among students and teachers alike. They have a tremendous learning mentality -- they are ceaselessly seeking to improve, when already they provide a learning and developmental experience to kids that should be a model for the entire nation."
A School Without Walls,686,NewSchools Venture Fund,Spring 2024,"A School Without Walls is a new Hybrid High School that centers joy and the lives of young people through individual passion projects, real world learning, and community facing action.  As educators, we believe in the power of young people to transform communities if given the opportunity to pursue their interests and passions as the core curriculum during their high school experience.  
"
Compass Rose Harvest,704,NewSchools Venture Fund,Spring 2024,"Compass Rose is a K-12, college- and career-preparatory program with a unique approach to education, where we focus on a specific field of study reflective of our community's strengths at each site-- in this case, Agricultural Sciences. We use a blended model to deliver instruction in the core subject areas, with a focus on building a strong foundation in math and literacy at every grade level through direct Tier 1 instruction and blended Tier 2 supports. We organize this learning around each school's unique ""field of study"" and offer hands-on, service- and discussion-based learning opportunities to cultivate students for college and careers."
Phoenix Coding Academy,775,Transcend,Spring 2024,"Phoenix Coding Academy is a high school focused on computer coding and mutliple technology pathways through an inquiry-based and project-based instructional design.

Community and industry partnerships facilitate guest instructors and workshops, field trips, mentors and job-shadowing, and internships for students and staff. CTE pathways such as software development (game, app, and web development) and computer networking and cybersecurity may lead to select industry certification and college dual enrollment, and will prepare students for success in college, career, and life."
Libertas School of Memphis,800,Beloved Community and an anonymous organization,Spring 2024,"Libertas is a hidden gem in the city of Memphis. As the city's only public Montessori school, they have created an environment in which every student can bring their full selves and thrive. Their comprehensive set of supports (speech therapy, occupational therapy, physical therapy and mental health services) ensure that neurodivergent learners experience true inclusion and success.Their model centers the child, and creates a learning experience that is anchored in joy and wonder. This is a fantastic community and space for both little people and families., Libertas is the first public charter school in the state offering Montessori education - a rich, rigorous, personalized method that is as unique as your child."
Maureen Joy Charter School,802,Transcend,Spring 2024,"Maureen Joy's commitment goes beyond academics; they focus on nurturing the complete well-being of every student. Through innovative, high-quality instruction, collaborative school-community relationships, and fostering a sense of positive self-identity, they create a supportive learning environment where every child can flourish.

They are also pushing the envelop on using real-time R&D and community-driven design to continually improve through rapid cycles of learning and prototyping."
Campus School,805,University High School,Spring 2024,"This school has been a beacon in the community for elevating excellence in teaching and learning through their partnership with the College of Education at University of Memphis, where they train so many novice educators at the beginning of their journey on how to be exceptional teachers. Additionally, they are a diverse school where students get high quality instruction and hands on experiences as a Blue Ribbon and STEM designated school. "
Koshkonong Trails School,807,Rural Schools Collaborative and an anonymous organization,Spring 2024,"Learning at Koshkonong Trails School is project-based and student-centered. Projects utilize the expansive farms, forest, and fields around the school, and engage students with their local environment via a variety of lessons. Students are given agency to direct their own learning, follow passions, and develop a love of learning. , Koshkonong Traisl envisions providing students with a high-quality, authentic learning environment where students are free to make choices about their learning, use those choices to impact their community and create a positive ripple in the world around them. Their mission is to create students who are lifelong learners and who have direction and passion for their future; to develop academic success for all students to meet the Wisconsin academic standards in the areas of language arts, mathematics, science, social studies, humanities, and agriculture; to offer high quality, rigorous, authentic learning opportunities for students interested in and motivated by project-based, hands-on learning; and, to provide a place-based, experiential education built around conservation, stewardship, and agriculture."
The Lab School of Memphis,809,Beloved Community,Spring 2024,"The Lab School of Memphis is a micro-school dedicated to affirming practices for all students. The environment is student-led and centers the ability of every child to learn when given access to freedom, opportunities to explore, new experiences and affirming guides."
West Hawaii Explorations Academy,810,Open Way Learning,Spring 2024,"WHEA has a rich history of hands-on experiential learning, where students are routinely collaborating to do authentic, student-centered research and learning in a flexible, community-facing, and project-based environment. It has also fostered strong ties with the local community, involving parents, businesses, and community leaders, thus allowing students multiple pathways to connect their learning to local, real-world problems and gain durable skills that align to the school’s Portrait of a Graduate. The school also leverages innovative teaching methods that allow students to focus on areas of interest, such as science, technology, and the environment. The school also employs a distributed leadership model to build collective autonomy and decision making for students and teachers. "
Alturas International Academy,811,Bluum,Spring 2024,"Alturas International Academy is an innovative change for education. With a master approach to education, their students are taught in small group instruction at instructional levels. This gives students the opportunity to work with partners and collaborate at high levels using analytical and critical thinking skills. Alturas Prep will expand on an already established program that teaches self-discipline and responsibility to all students; provides a physical environment that is welcoming and conducive to learning; promotes communication and interaction in the classroom; supports an effective environment that promotes a sense of belonging and self esteem; and provides an academic environment that promotes learning and self-fulfillment.

The Alturas International Academy uses the Primary Years Program (PYP) designed by the International Baccalaureate (IB) as a curriculum framework for young learners. Founded on a philosophy that recognizes a child’s natural curiosity, creativity and ability to react, the PYP generates a stimulating, challenging learning environment. Like all IB programs, PYP is transdisciplinary, meaning students learn across subject areas while investigating big ideas. In the process, students develop critical thinking, research, self-management, communication, and social skills.

At Alturas, students learn about significant concepts through units of inquiry. The six trans-disciplinary themes that guide units of inquiry are:

Who we are
Where we are in place and time
How we express ourselves
How the world works
How we organize ourselves
Sharing the planet

Units of inquiry interweave subject areas such as mathematics, language arts, information technology, science, and social studies, helping students make meaningful connections between what they learn in core subject areas and how it relates to the world around them.

INQUIRY-BASED:
The Primary Years Program (PYP) is based on a commitment to inquiry-based teaching and the development of the whole child; socially, emotionally, and intellectually. A core belief is that children learn more effectively when they are actively involved in the learning process and build upon existing knowledge in real-life contexts – In other words, when learning is relevant and engaging.

MULTILINGUAL: 
Spanish is the language of instruction in our K–5 elementary school program.  We welcome students from all language backgrounds. Over 80% of our students begin with no Spanish language at home.

NURTURING ENVIRONMENT: 
Alturas' smaller class sizes ensure that the teachers and staff can focus on students’ social and emotional development in addition to their intellectual progress. From a place of safety, students are encouraged to inquire, wonder, and investigate—to lay the foundations of interculturally sensitive and inquisitive lives.

EXPERIENCED, CARING TEACHERS: 
Alturas' teachers provide opportunities for students to build meaning and refine understanding through structured inquiry. Outside the classroom, Alturas teachers are an integral part of our community.

REAL-WORLD CONNECTIONS: 
Students synthesize and showcase their learning by applying new knowledge to real-world problems and working collaboratively to find solutions.  For example, 5th-grade students work in groups to prepare an exhibition and presentation about a topic of their choice, showcasing their self-guided learning to the community.




"
Global Preparatory Academy,813,The Mind Trust,Spring 2024,"Global Preparatory Academy is a dual language school that connects students from diverse linguistic backgrounds and educates them together in a highly rigorous, engaging, and nurturing environment.  Using both English and Spanish to instruct students in all core content areas, students develop high levels of bilingualism and bi-literacy, as well as a deep value and understanding of other cultures. Students at Global Prep gain limitless access to other cultures through bilingualism and instruction, which emphasizes critical thinking using global perspectives and experiential learning. Students attain bilingualism in a natural process through everyday conversation and content instruction. Through two-way immersion (TWI), students affirm the values of their own cultures while acquiring an understanding and appreciation of other cultures. 

Global Prep offers its students personalized learning plans, learning in English and Spanish, rigorous and culturally relevant curriculum based on Indiana State Standards, high expectations for academic and social success, extended school day and after-school enrichment, and before-and-after school care.

Global Prep staff represents many different countries including Cuba, Venezuela, Spain, The Canary Islands, Philippines, Nicaragua, Columbia, Korea, El Salvador, Mexico, Puerto Rico, Dominican Republic, Guatemala, Bolivia, Kenya, and the United States.
"
Colossal Academy,814,error,Spring 2024,"This microschool is effectively balancing student engagement, interests, and passions with ensuring that students master critical content., This is a placed-based micro-school for middle schoolers that is inclusive, offers real-world experiences, and has a philosophy of emergent learning., Colossal Academy places the student at the center of their learning whereby teachers teach to the student and not the test utilizing modern techniques and intersectionality of best practices and through a student-centered curriculum in a safe and student empowered learning environment., They are a progressive microschool that is dedicated to providing individualized, learner-centered education to students. They offer a hands-on approach which allows them to focus on each individual student's unique strengths and needs, ensuring that they have the opportunity to thrive academically and personally."
Edison School of Innovation,815,Education Evolving,Spring 2024,"Edison School for Innovation has been living up to their name by committing themselves to educational innovation, specifically school organization and teacher leadership. The Edison Guiding Coalition, which is a group of teacher leaders, have been activity thinking about how to better meet the needs of students through school governance. The team of about six team leaders (a blend of school admin, support staff and classroom teachers) constantly is improving their communication and embracing transparency to catapult student success. For example, they have embraced a shared and rotating leadership model during meetings. They currently are working on cultivating a stronger leadership team through the use of staff circles. The staff circles are a way to learn about fellow school leaders and also provide a space for honest and constructive feedback. Edison believes that a strong teacher team will translate to a strong student body. "
