"nominator","school_id","year","nominator_reason_n"
"KnowledgeWorks",757,2023,"San Luis High School, one of six high schools in the Yuma Union High School District, serves 2551 students in the southwestern corner of Arizona, bordering Mexico. The school’s mission states: “Challenging students to think and learn for themselves.” The staff has implemented learner-centered practices and systems to make this mission a reality. The academic program provides multiple learning pathways that enable every learner to be college, career, and community ready on a personal path.  Learners track their data and regularly set goals during time designated across the campus. All teachers offer choice through Universal Design for Learning, allowing students options in how to access, engage, and demonstrate learning. Choice boards, multiple assessment opportunities, and collaboration in small groups based on data provide a just-right learning environment. The early shifts to standards-based grading are providing an equitable system of assessment and reporting. 

Agency is a natural outcome of the options at San Luis. Besides the conventional structures such as Student Council and National Honor Society, student voice is intentionally amplified through the principal’s Student Advisory group, where students are leading a positive campus culture. Students co-created school-wide standard operating procedures for campus issues like cell phone usage, hallways, etc., to ensure a safe, productive environment. The robust Career Technical Student Organizations provide a platform for leadership growth and demonstration of personal achievement through national competitions. Four of these clubs received the 2022 Gold Chapter of Distinction award based on student performance. Both inside and outside the classroom, every learner can choose to excel at San Luis High School. "
"Future Focused Education",758,2023,"In an effort to sustain their core values and language, the Zuni Public School District established themselves as independent from the larger, neighboring district in the 1980's. Zuni High School has committed to continue efforts to sustain the language and culture of the community. To do so, they have developed a graduate profile, a community-centered capstone culminating project and assessment, and are shifting to culturally relevant and sustaining competency-based teaching and grading practices. "
"Anonymous",759,2023,"Aggie Academy seeks to stand out as a transformative leader in reaching students within the framework of black liberatory practices in order to disengage from the traditional educational framework. In conjunction with the university partnership, educators and students are introduced to practices that are culturally relevant to ensure high academic achievement for all students, regardless of their ethnic or cultural backgrounds. There is also a focus on a full integration of STEAM to teach students critical thinking skills that will help them problem solve and develop their executive functioning skills while also focusing on the social-emotional learning that helps students deal with the extraneous variables that impact their ability to process information in the learning environment."
"Ohio Department of Education: The Innovation Lab Network",760,2023,"Perry Ingenuity Institute was designed with 3 driving questions:  How can students build Language and Math Skills through active learning in a setting that make learning winnable?  How can students be involved in highly motivated learning that make school a place of Joy where they can become the best version of themselves?  How can students build relationship with each other and teachers over time?

Students spend part of their day working in customized groups with teachers, peers, or individually on Language Arts and Math skills at their own level.  Learning time is active and engaging.  Students begin and end each day working on student generated learning and creating/caring for our learning environment.  The institute is designed so students stay from 1st through 4th grade with their same peers and teachers."
"Anonymous",762,2023,"Great Hearts Online has taken their classical liberal-arts design and turned into into a flexible, online program for public school students in Texas and Arizona. They emphasize the importance of discussion, most notably in their application of the traditional socratic seminar to a virtual environment."
"National Indian Education Association",763,2023,"Skyline High School hosts a Seven Generations Health Center. Operated by Native American Health Center, the health center emphasizes prevention, integrated care, and the removal of access barriers. It aims to improve adolescent health, well-being, and success in school by increasing access to comprehensive, high-quality health care services. Services offered are free and confidential to all Skyline students."
"Transcend",764,2023,"The HBCU-style high school is founded upon the principles/best practices of HBCUs; They have a focus on authenticity, relationships and community and have a clear framework of expectations that are grounded in the principles of restorative practices and liberatory design. Their academic approaches include: a comprehensive STEAM approach, project-based learning, and enrichment courses. "
"NewSchools Venture Fund",765,2023,"Ednovate Virtual Academy focuses on using personalized learning to fuel student growth, assisted by a on college-going culture and technology."
"Getting Smart",766,2024,"The PPHS Lab high school uses state funding and operates in partnership with industry and community members. Their growth plans include scaling to serve 40 students in 2024-2025, with the intention of replicating upon demonstrating model efficacy and viability. "
"Getting Smart",767,2024,"The PPHS Lab high school uses state funding and operates in partnership with industry and community members. Their growth plans include scaling to serve 40 students in 2024-2025, with the intention of replicating upon demonstrating model efficacy and viability. "
"Transcend",768,2023,"Icon prep takes a mastery-based approach to learning with a focus on inquiry. The learning experience at Icon Prep is structured around: Independence levels; student agency and goal setting; extended year, extended day; mixed-age and peer learning; as well as community learning (mentorship from community members; learn from the community through guest speakers, field studies, and community service; exhibitions). The school cultivates a strong college-going culture within young children (a best practice for HBCU like schools)"
"Transcend",769,2023,"Aventuras is a language immersion forest school serving ages 3-6. The entire school day is spent outdoors in LA's parklands. They use an emergent play-based curriculum, where Spanish is woven into everything that they do -- from story telling to discovery trecks to imaginative play. Educators build the curriculum to meet the moment. Learning is playful, self-directed, engaged, and has a strong anti-bais emphasis. "
"Anonymous",770,2024,"UP Academy's unique methodology includes universal accommodations, a community framework, multi-sensory learning and a project based approach that works to build agency and develop important social emotional intelligence. Students love to come to school, can't wait to work on their next project and show growth rates at twice the national average. "
"Transcend",771,2023,"The Keres Children’s Learning Center (KCLC) is a Keres-language revitalization school that uses an intergenerational approach to immersion and dual language with Montessori pedagogy to give children (ages 2½ –12) the best of both worlds—an opportunity for children to learn through their heritage language of Keres while simultaneously accessing an academic curriculum that challenges their intellect and values their whole being."
"Transcend",772,2023,"AIM Academy is a Research-to-Practice School that is continually pioneering the technology and techniques proven to benefit children with language-based learning differences."
"Anonymous",773,2024,"St. Benedict's creates meaningful student leadership opportunities, social-emotional support systems, and community-building structures. The success of the model hinges on the idea that students are responsible for their own development as well as that of their peers. While the model was developed explicitly to serve students of color and students from low-income backgrounds, it has the potential to support students from all racial, religious, and socioeconomic groups."
"Transcend",775,2023,"Phoenix Coding Academy is a high school focused on computer coding and mutliple technology pathways through an inquiry-based and project-based instructional design.

Community and industry partnerships facilitate guest instructors and workshops, field trips, mentors and job-shadowing, and internships for students and staff. CTE pathways such as software development (game, app, and web development) and computer networking and cybersecurity may lead to select industry certification and college dual enrollment, and will prepare students for success in college, career, and life."
"Transcend",776,2023,"At PXU City, the city is your classroom. Students at PXU City can earn course credits in-person from their choice of any campus in the district, via on-line courses, or through internships and work experience. Students work with their PXU City counselor and develop personalized plans addressing areas of interest, course options, and class times/locations. For example, a student may not start classes until 10:00 AM, and/or they may take a course online at 9:00 PM. They may take general education classes or classes that are more specific to a career interest.

The school is designed to maximize students' active self-direction, customization, and choice while also retaining the benefits of a caring community and close relationships with adults and peers.

"
"Transcend",777,2023,"Anderson Institute of Technology offers high school students from across three districts the opportunity to engage in a PK-20 educational pathway with dual credit opportunities and industry certifications that prepare every student to enter the workforce and be successful after high school graduation. The school offers 20 different programs in areas such as aerospace technology, machine technology, agricultural sciences and biosystems technology, and computer networking and cybersecurity."
"Barr Foundation",778,2023,"Project-based learning with transformative learning experiences
Primary person model
Post secondary success planning with students"
"KnowledgeWorks",779,2023,"Oakes is using learning progressions to define entry points for learning and developing personalized learning pathways based on readiness"
"Vermont Agency of Education",780,2023,"Hartford Area Career and Technology Center (HACTC) provides career technical education to high school students, with a focus on preparing students for college and for high-skill, high-wage, in demand careers. HACTC also has a strong Justice, Equity, Diversity and Inclusion (JEDI) student leadership group that has partnered with school leaders to improve equity and inclusion at HACTC. While all of their programs are worthy of recognition, this nomination puts a spotlight on HACTC’s new Information Technology Program (a full article about this program can be found on pages 8 – 11 of this publication: https://issuu.com/kboyarsky/docs/westlebanonvalleynews_20221110_svalleyparents?fr=sNmMwYjMzNzU4Mg
 

 HACTC’s Information Technology Program provides students with hands-on, project-based, experiential learning, post-secondary credentials, and dual enrollment college credits. While still in high school, students in this program have the opportunity to:
 

 • Earn CompTIA A+ certification, a post-secondary certification that is the industry standard for a career in information technology.
 • Participate in the Amazon Web Services Academy and become AWS certified cloud practitioners.
 • Earn CISCO CCT Routing and Switching certification. 
 • Earn dual enrollment college credits through River Valley Technical College. Courses include Computer Architecture and Operating Systems and Introduction to Networks."
"KnowledgeWorks",781,2023,"Empower[Ed] is a personalized path to graduation based on who students are and how they learn best. Learners engage in authentic, self-directed learning in areas of interest to them."
"Anonymous",782,2024,"The Primary School brings together all of the adults in a child’s life, including parents, educators, and health care professionals to support them. The model starts early, is trauma sensitive and culturally responsive, and includes a parent support program."
"Barr Foundation",783,2023,"Dual language school
City as a campus programming - internships, dual enrollment, community service and expeditions
Culturally responsive
Portrait of a graduate - competencies"
"Barr Foundation",784,2023,"Comprehensive high school transformation
Learning beyond the school walls
Red Hawk Flight Plan - capstone experiences aligned to portrait of a graduate
Post secondary planning
Academies and pathways
Early college / dual enrollment / career technical education"
"Barr Foundation",785,2023,"Comprehensive school transformation
Teacher collaboration and teaming
Multilingual learners' program
Student empowerment and voice activitation"
"NewSchools Venture Fund",786,2023,"The New School of San Francisco is a tuition-free public school designed in partnership with local educators, parents, and community leaders. Inquiry, equity, and personalized learning are at the heart of how our students learn, grow, and thrive. We are currently serving Kindergarten through 8th grade. Our mission is to demonstrate a holistic 21st century education that instills a love of learning now and prepares students and families for success in the future. We believe in “Inquiry for All”—all children should go to school where they can drive their learning, ask big questions, and take risks. This belief fueled the creation of our school in 2015."
"Anonymous",787,2023,"California Area School is challenging the traditional notions of school by experimenting with grades, individualized educational programs and where students learn."
"The Center for Learner Equity",788,2023,"Arthur Ashe is part of Firstline schools charter network in New Orleans is a charter network. The network's philosophy emphasizes joy and anti-racism. The instructional model incorporates enrichment and out-of-school experiences as a key part of learning for all students."
"The Center for Learner Equity",789,2023,"Langston Hughes Academy is part of Firstline schools charter network in New Orleans is a charter network. The network's philosophy emphasizes joy and anti-racism. The instructional model incorporates enrichment and out-of-school experiences as a key part of learning for all students. During parts of the pandemic, certain classes temporarily re-located to the closed children's museum to hold their classes there and do more experiential and outdoor learning."
"Transcend",790,2023,"Strong learner-centered model arrived at via deep storytelling processes (including bringing in a storyteller from the Moth) so that students are able to articulate who they are and their whys and whats for learning. Learner profiles, flexible groupings, flexible pathways."
"Transcend",791,2023,"CTE school in partnerships with MIT. Learners spend 50% of their time in career path specific learning. Students entering their freshman year explore each career and technical program and then """"declare a major"""" which they study the rest of high school. There are about 20 areas to choose from and learners can earn credit / certifications. "
"Transcend",792,2023,"Kairos has a commitment to educating St. Louis children for their future. Their teaching and learning philosophy includes highly personalized learning, teachers as coaches and guides, project-based learning, and civic learning. They support this philosophy by adapting flexible school schedules that are year-round, tech-enabled softwares to further individualize instruction, as well as sustainable adult roles and training to ensure their talent stays."
"Transcend",793,2023,NA
"Transcend",794,2023,"Learning is situated in inquiry and deep questions, even for the youngest learners. This inquiry is situated in place-based and interdisciplinary contexts. Also deeply commited to community and being sstewards of the environment. Assessment and presenting student learning in visible and actioanble ways is important. "
"Transcend",795,2023,"They are a independent school for gifted learners and are 62% students of color. They use design thinking and PBL (partner with Stanfor'd dLab), lots of community and global service and sustainability intitiatives, deep social justice commitment, teacher prep pipeline, etc."
"Mindcatcher",796,2023,"Perea Elementary is weaving social emotional learning throughout every aspect of the student experience. All teachers are trained on using SEL strategies in their lesson planning and classroom routines and systems. Their team includes several social workers who support students' emotional well being and collaborate with teachers and parents. They also have dedicated space in their building for addressing mental health. They set high expectations for academic outcomes while also prioritized student and staff wellness."
"Center on Reinventing Public Education",799,2023,"The school has a social justice and expeditionary learning/ project based learning curriculum focus. It is also an embedded partner of the Codman square neighborhood, located within the Codman square health center, and an active part of the Codman square neighborhood community centered transformation . They evolve their curriculum over time in response to student and community priorities. It was either the or one of the first expeditionary learning schools designed for students of color and or in poverty. It was named by CZI as their model school for justice and health centered learning."
"Anonymous",800,2024,"Libertas is a hidden gem in the city of Memphis. As the city's only public Montessori school, they have created an environment in which every student can bring their full selves and thrive. Their comprehensive set of supports (speech therapy, occupational therapy, physical therapy and mental health services) ensure that neurodivergent learners experience true inclusion and success.Their model centers the child, and creates a learning experience that is anchored in joy and wonder. This is a fantastic community and space for both little people and families."
"Anonymous",800,2024,"Libertas is the first public charter school in the state offering Montessori education - a rich, rigorous, personalized method that is as unique as your child."
"Anonymous",801,2024,"Rooted School Vancouver opened in Fall 2023, starting with 9th-grade students and is one of the few charter schools in Washington State. This unique education environment focuses on college and career preparedness, offering all students the chance to earn industry-based certifications through close partnerships with technology companies in the region. The high teacher-to-student ratio ensures that all students receive the necessary support to be successful, emphasizing individualized learning and promoting equity in education."
"Transcend",802,2024,"Maureen Joy's commitment goes beyond academics; they focus on nurturing the complete well-being of every student. Through innovative, high-quality instruction, collaborative school-community relationships, and fostering a sense of positive self-identity, they create a supportive learning environment where every child can flourish.

They are also pushing the envelop on using real-time R&D and community-driven design to continually improve through rapid cycles of learning and prototyping."
"Anonymous",803,2024,"VALE (Venture Academy of Leadership and Entrepreneurship), is redefining alternative education to equip students with the necessary skills and tools to succeed in a rapidly evolving world.  They are unleashing the potential of every student by providing a non-traditional educational approach, meaningful learning experiences, and problem-based learning opportunities that transcend traditional content areas. VALE prepares students to become entrepreneurial change-makers, well-equipped for life."
"Education Evolving",804,2024,"Kyrene Aprende Middle School is an innovative school environment that serves a diverse student population in Chandler, Arizona. Aprende has received various recognitions for their achievements, including being an A+ School of Excellence and a National AVID demonstration school. Aprende is also a leader in school transformation efforts as part of the National network of Teacher-Powered Schools, demonstrating a commitment to increase educator voice in decision-making in order to improve student learning. Teachers have implemented a model of deep collaboration for teachers and students and where students get to experience real-world learning that is and meaningful and engaging. Students in this model experience learning that is beyond traditional classrooms and where they can be curious, excited and motivated to learn."
"Anonymous",805,2024,"This school has been a beacon in the community for elevating excellence in teaching and learning through their partnership with the College of Education at University of Memphis, where they train so many novice educators at the beginning of their journey on how to be exceptional teachers. Additionally, they are a diverse school where students get high quality instruction and hands on experiences as a Blue Ribbon and STEM designated school. "
"Anonymous",806,2024,"This K-8 school that was established 6 years ago emphasizes active learning, inquiry, and promoting engagement, with a current enrollment of 53. What stands out in particular is that in addition to prioritizing equity, diversity, and inclusion it fosters an environment of belonging where each student has a voice and obvious value. Most of the class projects are student led and the teachers facilitate discovery rather than merely sharing information. Another distinguishing feature is how it emphasizes partnerships with community educators who enlist students in community service projects. A hallmark of this school is that alumni are distinguished from their peers by their heightened empathy, connection to the community, and soft skills."
"Rural Schools Collaborative",807,2024,"Learning at Koshkonong Trails School is project-based and student-centered. Projects utilize the expansive farms, forest, and fields around the school, and engage students with their local environment via a variety of lessons. Students are given agency to direct their own learning, follow passions, and develop a love of learning. "
"Anonymous",807,2024,"Koshkonong Traisl envisions providing students with a high-quality, authentic learning environment where students are free to make choices about their learning, use those choices to impact their community and create a positive ripple in the world around them. Their mission is to create students who are lifelong learners and who have direction and passion for their future; to develop academic success for all students to meet the Wisconsin academic standards in the areas of language arts, mathematics, science, social studies, humanities, and agriculture; to offer high quality, rigorous, authentic learning opportunities for students interested in and motivated by project-based, hands-on learning; and, to provide a place-based, experiential education built around conservation, stewardship, and agriculture."
"Rural Schools Collaborative",808,2024,"Place-based, student-centered learning is a focus at Katahdin Elementary School. Over the last several years, the leaders (including many teachers) transformed school curricula to feature outdoor learning as a core medium for learning. Outdoor classroom were created with student input and design, and a large school garden is growing in scope and scale while being closely integrated into multi-grade learning. "
"Anonymous",809,2024,"The Lab School of Memphis is a micro-school dedicated to affirming practices for all students. The environment is student-led and centers the ability of every child to learn when given access to freedom, opportunities to explore, new experiences and affirming guides."
"Open Way Learning",810,2024,"WHEA has a rich history of hands-on experiential learning, where students are routinely collaborating to do authentic, student-centered research and learning in a flexible, community-facing, and project-based environment. It has also fostered strong ties with the local community, involving parents, businesses, and community leaders, thus allowing students multiple pathways to connect their learning to local, real-world problems and gain durable skills that align to the school’s Portrait of a Graduate. The school also leverages innovative teaching methods that allow students to focus on areas of interest, such as science, technology, and the environment. The school also employs a distributed leadership model to build collective autonomy and decision making for students and teachers. "
"Bluum",811,2024,"Alturas International Academy is an innovative change for education. With a master approach to education, their students are taught in small group instruction at instructional levels. This gives students the opportunity to work with partners and collaborate at high levels using analytical and critical thinking skills. Alturas Prep will expand on an already established program that teaches self-discipline and responsibility to all students; provides a physical environment that is welcoming and conducive to learning; promotes communication and interaction in the classroom; supports an effective environment that promotes a sense of belonging and self esteem; and provides an academic environment that promotes learning and self-fulfillment.

The Alturas International Academy uses the Primary Years Program (PYP) designed by the International Baccalaureate (IB) as a curriculum framework for young learners. Founded on a philosophy that recognizes a child’s natural curiosity, creativity and ability to react, the PYP generates a stimulating, challenging learning environment. Like all IB programs, PYP is transdisciplinary, meaning students learn across subject areas while investigating big ideas. In the process, students develop critical thinking, research, self-management, communication, and social skills.

At Alturas, students learn about significant concepts through units of inquiry. The six trans-disciplinary themes that guide units of inquiry are:

Who we are
Where we are in place and time
How we express ourselves
How the world works
How we organize ourselves
Sharing the planet

Units of inquiry interweave subject areas such as mathematics, language arts, information technology, science, and social studies, helping students make meaningful connections between what they learn in core subject areas and how it relates to the world around them.

INQUIRY-BASED:
The Primary Years Program (PYP) is based on a commitment to inquiry-based teaching and the development of the whole child; socially, emotionally, and intellectually. A core belief is that children learn more effectively when they are actively involved in the learning process and build upon existing knowledge in real-life contexts – In other words, when learning is relevant and engaging.

MULTILINGUAL: 
Spanish is the language of instruction in our K–5 elementary school program.  We welcome students from all language backgrounds. Over 80% of our students begin with no Spanish language at home.

NURTURING ENVIRONMENT: 
Alturas' smaller class sizes ensure that the teachers and staff can focus on students’ social and emotional development in addition to their intellectual progress. From a place of safety, students are encouraged to inquire, wonder, and investigate—to lay the foundations of interculturally sensitive and inquisitive lives.

EXPERIENCED, CARING TEACHERS: 
Alturas' teachers provide opportunities for students to build meaning and refine understanding through structured inquiry. Outside the classroom, Alturas teachers are an integral part of our community.

REAL-WORLD CONNECTIONS: 
Students synthesize and showcase their learning by applying new knowledge to real-world problems and working collaboratively to find solutions.  For example, 5th-grade students work in groups to prepare an exhibition and presentation about a topic of their choice, showcasing their self-guided learning to the community.




"
"The Mind Trust",812,2024,"Recognizing the need for high-quality, tuition-free public education located within the city’s urban neighborhoods, the founder, Ms. Taft brought together residents, educators, non-profit organizations, and business leaders to create an original structure for a classical, liberal arts education.
Herron High School’s founders and founding board believed it was essential to bring the very best educators to the table during the development phase of the school. Beginning with Robert Marzano’s concept of designing a curriculum “with the end in mind,” and guided by best practices in the classroom, the founder’s vision of a well-educated, world-class citizen helped define the rigorous curriculum, classical format, and cultural foundation for the school.
Herron High School's core values are that every student is a scholar, engages in an urban community, advances timeless ideas and content, builds a culture of respect and trust through relationships with people and ideas, and serves as a catalyst for renewal.
These core values are innovative but rooted in classical, liberal arts traditions. Herron is college-preparatory, and is rated as the top Indianapolis public school, and in the top 1 percent in the Nation, for college preparation, and has set the standard to to stay diverse. "
"The Mind Trust",813,2024,"Global Preparatory Academy is a dual language school that connects students from diverse linguistic backgrounds and educates them together in a highly rigorous, engaging, and nurturing environment.  Using both English and Spanish to instruct students in all core content areas, students develop high levels of bilingualism and bi-literacy, as well as a deep value and understanding of other cultures. Students at Global Prep gain limitless access to other cultures through bilingualism and instruction, which emphasizes critical thinking using global perspectives and experiential learning. Students attain bilingualism in a natural process through everyday conversation and content instruction. Through two-way immersion (TWI), students affirm the values of their own cultures while acquiring an understanding and appreciation of other cultures. 

Global Prep offers its students personalized learning plans, learning in English and Spanish, rigorous and culturally relevant curriculum based on Indiana State Standards, high expectations for academic and social success, extended school day and after-school enrichment, and before-and-after school care.

Global Prep staff represents many different countries including Cuba, Venezuela, Spain, The Canary Islands, Philippines, Nicaragua, Columbia, Korea, El Salvador, Mexico, Puerto Rico, Dominican Republic, Guatemala, Bolivia, Kenya, and the United States.
"
"Clayton Christensen Institute",814,2024,"This microschool is effectively balancing student engagement, interests, and passions with ensuring that students master critical content."
"Anonymous",814,2024,"This is a placed-based micro-school for middle schoolers that is inclusive, offers real-world experiences, and has a philosophy of emergent learning."
"Anonymous",815,2024,"Edison School for Innovation has been living up to their name by committing themselves to educational innovation, specifically school organization and teacher leadership. The Edison Guiding Coalition, which is a group of teacher leaders, have been activity thinking about how to better meet the needs of students through school governance. The team of about six team leaders (a blend of school admin, support staff and classroom teachers) constantly is improving their communication and embracing transparency to catapult student success. For example, they have embraced a shared and rotating leadership model during meetings. They currently are working on cultivating a stronger leadership team through the use of staff circles. The staff circles are a way to learn about fellow school leaders and also provide a space for honest and constructive feedback. Edison believes that a strong teacher team will translate to a strong student body. "
"KnowledgeWorks",816,2024,"Innovation Academy was designed to weave the sciences into all aspects of learning using an integrated thematic approach to instruction. We engage students in “hands-on” and “minds-on” relevant curriculum and instruction that utilizes technology and the arts to enrich and encourage learning. We offer a well-rounded education in reading, writing, social studies as well as instruction in art, music, and physical education, which are all essential components of a quality elementary education. In grades K-2 we use Integrated Thematic Units of Instruction, grades 3-5 use a Project Based Learning approach.
ITUs are teacher-driven units of study based on highly engaging STEM themes, current scientific or engineering events, student interest, voice and choice, students as teachers and the AZCCRS. Project Based Learning (PBL) students are learning by being actively engaged in real-world and personally meaningfully projects. AZCCRS are imbedded in all projects. Some current projects include; Turtle Pond, the Grove, Mars Base, City of Ember, Long Walk to Water, Wax Museum. We have a 90 minute math block, ELA is taught through STEM book studies, research, writing (research papers) and presentations.
What we have seen is that by using ITU and PBL approaches to instruction, our students are highly engaged and excited about learning, which has increased student achievement and social emotional growth. Our students work collaboratively to critically think and problem solve.
Innovation Academy is a 100% open enrollment STEM-focused pre-K-5 elementary school in the Amphitheater Public School District.  Although Innovation Academy is located in the far north end of the school district, a more affluent region (the school was built in this location because this is where the school district owned land), our student population comes from all over the Tucson and the surrounding area.  To provide equitable access for all students in the district, transportation is provided from all elementary schools for families wishing to attend Innovation.   This purposeful design has helped to diversify the population of our students, families, and staff.
"
"Throughline Learning",817,2024,"Segue Institute for Learning is investing time, money, and capacity to welcome, support, and retain a cohort of 8 Fellows into their school community. Fellows are trained as culturally responsive teacher assistants who provide mentorship and tutoring support to students, helping to alleviate teacher workloads, enhance their own pedagogical and relationship-building skills, connect SEL practices into academic instruction, and support tier 2 math through tutoring. In addition to recruiting and supporting this cohort of dedicated Fellows, Segue IFL is facilitating an inclusive design team to iterate on best-practice strategies driven by data on student experiences and outcomes. Fellows at Segue IFL are supported by Americorps funding and a Community Educator Network partnership with Throughline Learning.  "
"Anonymous",818,2024,"City High School is a purposely small school whose mission is to be a community of learns in which all members use their minds well and care about one another and engages with challenging academics and the unique resources of their city and region in order to become active citizens and responsible stewards of our world.

Their ambitious academic framework includes project-based learning, personalized, competency based learning, social emotional learning, universal design learning, culturally responsive practices and literacy integration. Learning how to implement these pedagogies is an ongoing learning process that includes the use of critical friends groups, personalized, professional learning plans, embedded professional development and a presentation of learning by the adults that mirror the demonstrations of learning we ask of our students.

City students demonstrate academic competencies and portrait of a graduate attributes through their classwork, interdisciplinary projects, community experiences/internships and advisory work.  Their public exhibitions of learning include student-led conferences, end-of-unit exhibitions (individually by class and collaboratively the school’s participation in the annual Pennington Street Fair) and end of year Gateways that include a portfolio presentation.

City High School’s commitment to place-based learning and community justice/equity work is threaded throughout coursework, in whole school meetings, and in student generated clubs and activities.  For example, we are known in Tucson for being a welcoming safe haven for LGBTQ students and families.

"
"Mastery Transcript Consortium",819,2024,"This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates."
"Mastery Transcript Consortium",820,2024,"This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates."
"Mastery Transcript Consortium",821,2024,"This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates."
"Anonymous",822,2024,"This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates."
"Anonymous",823,2024,"This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates."
"Mastery Transcript Consortium",824,2024,"This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates."
"Mastery Transcript Consortium",825,2024,"This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates."
"Anonymous",826,2024,"This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates."
"Anonymous",828,2024,"This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates."
"Mastery Transcript Consortium",829,2024,"This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates."
"Next Generation Learning Challenges",830,2024,"Desert View High School reflects the attributes of the Sunnyside school district: a tremendously strong commitment to its graduate portrait and to a through-line of systems coherence that stems from that portrait and shapes virtually everything that happens in the school. Their watchwords are agency, purpose, and identity. They are also offering very strong CTE/STEM programs. These programs are representative of Sunnyside’s systems coherence in action.
"
"Mastery Transcript Consortium",831,2024,"This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates."
"Mastery Transcript Consortium",832,2024,"This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates."
"Mastery Transcript Consortium",833,2024,"This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates."
"The Liber Institute",834,2024,"Wak̇aŋyeja Ki Ṫokeyaḣc̄i is an immersive Lakota education that prioritizes the holistic well-being of Lakota students and the regeneration of the Lakota language and way of life. It is a multi-generational, multi-lingual learning environment that is creating a proof-point for Indigenous language immersion and preservation efforts."
"Anonymous",835,2024,"Charles Carroll implemenrs Success for All's tutoring model to support student literacy."
"Anonymous",836,2024,"Kahuku Elementary School utilized the Once model, a high-dosage, one-on-one reading-tutoring program for kindergarten students that is rooted in the science of reading."
"Utah State Board of Education",837,2024,NA
"Anonymous",838,2024,"Vertex Partnership Academies is a character-based, International Baccalaureate public charter high schools dedicated to equality of opportunity, individual dignity, and our common humanity"
"Anonymous",839,2024,"Environmental sustainability roots AGC’s education in the natural world. We believe that learning in harmony with nature provides opportunities to understand the relevance of our education. Learning from natural processes is a powerful vehicle for teaching our students about the connection between their everyday choices and the health of the community, the environment, and themselves."
"Utah State Board of Education",840,2024,"Matt and his team have done a phenomenal job of building proficiency scales related to all of their pillar standards to lay the foundation for movement into true competency-based education. They have done this while continuing to focus on cognitiviely rigorous experiences for their students."
"Utah State Board of Education",841,2024,"Innovative work in Deep Learning/PCBL."
"Utah State Board of Education",842,2024,"The Ogden team has used their PCBL Grant funding to build a remarkable system of asynchronous Professional Learning resources that they have incentivized their educators to engage in and collaborate on."
"KnowledgeWorks",843,2024,"Westwood High School is working closely with Arizona State University to incorporate a teaming model in their school as part of a larger vision of the Next Generation Workforce.

Westwood High School piloted ninth grade Academy Teams in fall of 2018 in an effort to support students in the transition to high school. The pilot team saw a decrease in discipline referrals, students reported a stronger sense of belonging, and educators indicated that the flexible schedule they developed afforded them the opportunity to dive more deeply into their content areas. 

Since that time Westwood High School has been working to spread and scale the teaming model to expand beyond the ninth grade in innovative ways including the combining of all geometry classes and incorporating personalized learning strategies and a mix of interdisciplinary courses and specialization pathways. 

Teams use flexible space and scheduling to facilitate a variety of teaching strategies that strengthen cross-curricular connections and allow for targeted small and large group instruction. 
"
"Anonymous",844,2024,"Kimberley Park Elementary and its district are part of the national Opportunity Culture initiative in which schools extend the reach of excellent teachers and their teams to many more students, for more pay, with regular budgets. In the 2022-23 school year, Kimberley Park exceeded state expectations for learning growth and was removed from the state’s list of low-performing schools. The foundation of the Opportunity Culture model is the Multi-Classroom Leader, or MCL, role, an excellent teacher who leads a small teaching team, providing instructional guidance and frequent, on-the-job development while continuing to teach part of the time. Kimberly Park used Opportunity Culture teams strategically to ensure that all students receive excellent instruction even when the school has persistent vacancies or long-term substitutes; using Opportunity Culture roles has also led to increased stability, with a high teacher retention rate and strong applicants for MCL roles. "
