Nomination ID,Nominator Org,Reason for nominating,Canopy School ID,Publicly disclosable nominator org
Nominator_2022-11_NewSchools Venture Fund_URBAN ACT Academy,NewSchools Venture Fund,"URBAN ACT Academy utilizes place-based instruction to meet scholars where they live.  Through place-based learning, students learn the skills and knowledge by studying their surroundings.",731,NewSchools Venture Fund
Nominator_2022-11_NewSchools Venture Fund_West Dallas STEM School,NewSchools Venture Fund,"An integrated STEM education will prepare students from an early age for careers in high demand. By engaging students in hands-on activities such as robotics, experiments, and computer coding, students are using the skills and processes learned in science, technology, engineering and mathematics to think deeply, ask non-Googleable questions and solve problems.",732,NewSchools Venture Fund
Nominator_2022-11_NewSchools Venture Fund_Why Not You Academy,NewSchools Venture Fund,"Family and community connection supports student engagement and success.
Staff and students commitment to community; being safe; being present; and being accountable to learning.
We believe all students should have a meaningful vision for life after high school and know that staff support achievement of that vision.
We practice and develop the knowledge, skills, and habits of mind for success in the 21st Century.   
We expect and support students to communicate effectively, work collaboratively to solve complex problems, and learn how to learn.
",733,NewSchools Venture Fund
Nominator_2022-11_NewSchools Venture Fund_THRIVE Community School,NewSchools Venture Fund,THRIVE Community School is a K-8 public school with a specific focus on Social and Emotional Learning and STEAM Education. We build strong foundations and provide an experiential learning approach.,734,NewSchools Venture Fund
Nominator_2022-11_NewSchools Venture Fund_Acceleration Day and Evening Academy,NewSchools Venture Fund,"Acceleration (ACCEL) Academy, Alabama’s first tuition-free public charter school, serves middle and high school students in grades 6-12 from Mobile, Baldwin and Washington counties. ACCEL Academy was founded by the Mobile Area Education Foundation in 2017. At ACCEL Academy, students can graduate quicker or catch up if they have fallen behind or dropped out of another institution. With a challenging college preparatory curriculum, individualized instruction and small class sizes, ACCEL Academy gives students a safe, supportive environment to ensure they graduate college and are career ready.",735,NewSchools Venture Fund
Nominator_2022-11_NewSchools Venture Fund_Acceleration Preparatory Academy,NewSchools Venture Fund,Personalized learning model with strong intervention structures to close academic and SEL gaps.,736,NewSchools Venture Fund
Nominator_2022-11_NewSchools Venture Fund_Achievers Early College Prep Charter School,NewSchools Venture Fund,"Achievers Early College Prep Charter School (AECP) is New Jersey’s first public charter school for students in grades 6-12 that provides them with the unique opportunity to take a two-year course of study in STEM fields following the 10th grade, enabling them to redefine the high school experience and graduate with skills, experiences, and content mastery that’s significant to them in the market place and the world beyond.",737,Anonymous
Nominator_2022-11_NewSchools Venture Fund_Zeta Bronx Tremont Park Elementary,NewSchools Venture Fund,"Zeta’s next-generation charter school model combines world-class academics with whole-child education, focused on social-emotional learning, mindfulness meditation, and rich specialty programming, including Zeta Innovation Lab, Sports, Taekwondo, Soccer, Dance, Music, Violin, Viola, Cello, and Chess. Zeta currently operates 4 charters across 6 campuses in the Bronx and Upper Manhattan, providing Pre-K through 5th grade, and, in 2023-24, we will open our first middle schools, starting with 6th grade. Each Zeta school will grow to serve students in Pre-K through 12th grade.",738,NewSchools Venture Fund
Nominator_2022-11_NewSchools Venture Fund_Impact | Commencement Bay Elementary,NewSchools Venture Fund,"The instructional model has been designed to ensure that every student has the opportunity to meet career- and college-ready standards. The model is based on three essential design elements that have been selected to nurture 21st century skills and habits within a culturally-responsive learning environment: 1. School-based mentor groups, 2. Personalized learning pathways for every student and 3. Project-based learning (PBL).",739,NewSchools Venture Fund
Nominator_2022-11_NewSchools Venture Fund_Impact | Salish Sea Elementary,NewSchools Venture Fund,"The instructional model has been designed to ensure that every student has the opportunity to meet career- and college-ready standards. The model is based on three essential design elements that have been selected to nurture 21st century skills and habits within a culturally-responsive learning environment: 1. School-based mentor groups, 2. Personalized learning pathways for every student and 3. Project-based learning (PBL).",740,NewSchools Venture Fund
Nominator_2022-11_Center on Reinventing Public Education_Impact | Salish Sea Elementary,Center on Reinventing Public Education,,740,Center on Reinventing Public Education
Nominator_2022-11_Center for Innovation in Education (C!E)_Synergy at Fremont Middle School,Center for Innovation in Education (C!E),Problem based learning environment and school of choice within a traditional school.,741,Anonymous
Nominator_2022-11_NewSchools Venture Fund_Elevate Academy Nampa,NewSchools Venture Fund,Integrated curriculum mastery based personal learning with Career Technical Education as the focus.,742,NewSchools Venture Fund
Nominator_2022-11_NewSchools Venture Fund_KIPP Beyond Middle School,NewSchools Venture Fund,"At KIPP Beyond Middle School, we believe that we are better together. In our increasingly diverse, but deeply divided city and country, we believe that there are no better people than our city’s children to lead the way, and no better place to bring together children of different backgrounds than in school. A rigorous body of research has demonstrated the significant benefits to all students educated in racially and socioeconomically integrated settings, including higher academic achievement and higher academic growth; more critical and flexible thinking by being exposed to different perspectives; greater likelihood to enroll in college, report higher earnings, and demonstrate better long-term health outcomes; and increased empathy and reduced racial bias. KIPP Beyond incorporates engaging, rigorous, and relevant academics; a robust enrichment program; consistent physical conditioning; a focus on identity, relationships, and belonging; and regular practice of meditation – all informed by the research base on adolescent development.",743,Anonymous
Nominator_2022-11_NewSchools Venture Fund_LEAD Charter School,NewSchools Venture Fund,"Lead Charter School's model is grounded in the unwavering belief in the power of young people to transform their lives and the community. Our model is developed and delivered by practitioners of research-based youth development practices and systems that ensure a tailored, personalized, strengths-based learning experience, grounded in the advocacy of Opportunity Youth. Our model contains five interconnected core components:
1. Education
2. Construction PLUS
3. Counseling and Counseling Management
4. Leadership Development
5. Graduate Success",744,NewSchools Venture Fund
Nominator_2022-11_Barr Foundation_Chelsea Opportunity Academy,Barr Foundation,"Project-based learning with transformative learning experiences
Primary person model with academic counseling
Post secondary success planning with students
Work to credit program",745,Barr Foundation
Nominator_2022-11_Barr Foundation_Opportunity Academy at Holyoke High School,Barr Foundation,"Project-based learning with transformative learning experiences
Primary person model
Post secondary success planning with students",746,Barr Foundation
Nominator_2022-11_Center on Reinventing Public Education_Opportunity Academy at Holyoke High School,Center on Reinventing Public Education,"Students enrolled at Opportunity Academy are presented with three different pathways to finish their high school degree: competency-based learning provided in house at Success Center, a dual enrollment program at the local community college, and personalized learning experiences through a partnership with a local private institution. Opportunity Academy is re-thinking the alternative education space by providing multiple learning pathways to meet every student's individual needs.",746,Center on Reinventing Public Education
Nominator_2022-11_Barr Foundation_Nowell Academy,Barr Foundation,"Project-based learning with transformative learning experiences
Primary person model with academic counseling
Post secondary success planning with students",747,Barr Foundation
Nominator_2022-11_Center on Reinventing Public Education_Nowell Academy,Center on Reinventing Public Education,"Nowell is a student-first environment that offers several supports to students, including but not limited to on-campus daycare services for students with children and a primary person model that creates strong adult-student mentorship and relationships. The school rethinks traditional credit recovery opportunities through its transformative learning experiences, which are indterdisciplinary classes that give students double credits in subjects (e.g., Nowell's food revolution class gives students history and science credits). These classes also connect students to outside-school experiences (e.g., the social justice class visits the local court house and partners with lawyers from a local university, the food history class travels into local neighborhoods to map out food deserts to include a newsletter made available to students campus-wide). ",747,Center on Reinventing Public Education
Nominator_2022-11_NewSchools Venture Fund_Zeta Inwood,NewSchools Venture Fund,"Zeta’s next-generation charter school model combines world-class academics with whole-child education, focused on social-emotional learning, mindfulness meditation, and rich specialty programming, including Zeta Innovation Lab, Sports, Taekwondo, Soccer, Dance, Music, Violin, Viola, Cello, and Chess. Zeta currently operates 4 charters across 6 campuses in the Bronx and Upper Manhattan, providing Pre-K through 5th grade, and, in 2023-24, we will open our first middle schools, starting with 6th grade. Each Zeta school will grow to serve students in Pre-K through 12th grade.",748,NewSchools Venture Fund
Nominator_2022-11_NewSchools Venture Fund_Zeta Mount Eden,NewSchools Venture Fund,"Zeta’s next-generation charter school model combines world-class academics with whole-child education, focused on social-emotional learning, mindfulness meditation, and rich specialty programming, including Zeta Innovation Lab, Sports, Taekwondo, Soccer, Dance, Music, Violin, Viola, Cello, and Chess. Zeta currently operates 4 charters across 6 campuses in the Bronx and Upper Manhattan, providing Pre-K through 5th grade, and, in 2023-24, we will open our first middle schools, starting with 6th grade. Each Zeta school will grow to serve students in Pre-K through 12th grade.",749,NewSchools Venture Fund
Nominator_2022-11_NewSchools Venture Fund_Liberty STEAM Charter School,NewSchools Venture Fund,"In partnership with our families and the community, our vision is to provide real-world interdisciplinary, personalized, and project-based learning experiences through a STEAM-based academic program where graduates become the next generation of leaders, ​employers, and employees who contribute to the economic well-being of their communities and families.",750,Anonymous
Nominator_2023-11_Transcend_Maritime High School,Transcend,"Maritime High School is a new, small high school that opened in September 2021 with its first 9th-grade class. Maritime is a collaborative project of Highline Public Schools, Northwest Maritime Center, Port of Seattle, and the Duwamish River Community Coalition, with many community and industry partners engaged to support our students.

Students will have time in the classroom, frequent field experiences and boat-based learning. In the 11th- and 12th-grade years, students will participate in internships to gain workforce skills and knowledge.  Students will engage in project-based learning, working with teachers, community partners and industry experts in hands-on experiences; an innovative transcript will demonstrate their learning across all academic subject areas.

By graduation, students will have skills to launch a Maritime career, and will also be ready to continue studying in a 2 or 4-year college. 

Regardless of a student’s life path, attendance in this school will increase their understanding of the natural world, increase their competency in practical skills, and offer them a greater awareness of the career opportunities of the sea and beyond.",751,Anonymous
Nominator_2022-11_NewSchools Venture Fund_Maritime High School,NewSchools Venture Fund,"Maritime High School connects students with hands-on, project-based learning to create access to local maritime careers and open doors to college. Anchored in the Duwamish Valley, we deliver powerful youth development experiences and exceptional education to students who are furthest from educational justice, resources, and opportunities in the Highline Public Schools and surrounding districts.",751,Anonymous
Nominator_2023-11_Mastery Transcript Consortium_Maritime High School,Mastery Transcript Consortium,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.,751,Mastery Transcript Consortium
Nominator_2022-11_NewSchools Venture Fund_The Leadership School,NewSchools Venture Fund,"The Leadership School exists to grow our students’ leadership capacity through earnest engagement in an academically rigorous, culturally relevant, and relationship-oriented environment. We are a new educational option that prepares students to be in the driver’s seat of their own learning and to navigate a path toward the lives they imagine for themselves.",752,NewSchools Venture Fund
Nominator_2022-11_NewSchools Venture Fund_University High School,NewSchools Venture Fund,"University High School prepares a diverse body of students with the knowledge, skills, and mindsets needed to thrive in the 21st century global community, through innovative and inclusive practices, transformational partnerships, and equitable access to opportunities that lead to success in college and in life.",753,NewSchools Venture Fund
Nominator_2022-11_KnowledgeWorks_Rio Rico High School,KnowledgeWorks,"At Rio Rico High School, located in the Santa Cruz Valley Unified School District No 35, in Rio Rico, Arizona, students and staff all know how to ""REP”.  Based on the core values of Relationships, Excellence, and Pride the faculty embraces creating the best learning environments possible for their students.  Three years ago, as the school began thinking more critically about equitable outcomes for all learners, they expanded and deepened opportunities for students to own their learning.  Flexibility with time resulted in RRHS allowing students to build individualized learning schedules depending on their interests and situation. All grade levels offer three distinct options - face to face instruction, distance learning, and flex-scheduling - to provide students agency when deciding on the environment that best meets their needs. Wednesdays provide intervention and enrichment services for students and personalized professional development for staff.
 
In anticipation of transitioning to a standards-based system for reporting on learning, the principal facilitated a voluntary book study on Grading for Equity, by Joe Feldman.  Avant-garde teachers now implement more equitable grading practices to their level of comfort and understanding.  This behavior has grown the network of interested teachers and expanded the grass roots of implementation in advance of a full transition in SY24.  

Administration also emphasizes student voice.  Beyond creative student scheduling, a student senate meets regularly to offer insight and guidance on decision-making, student artwork beautifies the campus in multiple areas, and a student cheering section actively drives school spirit!  Through the combination of voice and choice, the students REP in palpable ways.
 
With a focus on an instructional shift to a more student-centered environment, flexible seating, distance/flex scheduling, SOPs, and student voice remain the primary strategies advancing the school-wide mantra ""We REP!"" 
",754,KnowledgeWorks
Nominator_2022-11_Arizona Technology in Education Association_Choice Learning Academy,Arizona Technology in Education Association,"Student have a choice of four different paths for learning in middle school: Arts, Entrepreneurship, Innovation or Leadership. ",755,Arizona Technology in Education Association
Nominator_2022-11_KnowledgeWorks_Cibola High School,KnowledgeWorks,"For the past four years, Cibola High School, one of six high schools in Yuma Union High School district, has been reimagining education by putting systems in place to support learner-centered practices. Key in the shift is a focus on mastery learning and an expectation of student success – no matter what it takes. Three years ago, a small group of teachers and the principal began studying and applying standards-based grading principles. Today, over 60 percent of the staff participate. The shift has evolved into equitable systems of grading and assessment across the campus, resulting in student agency and ownership of the learning. Students know the vision is for them to attain the highest level of proficiency/mastery. If they don’t succeed on the first attempt, they’ll have choice and opportunity to reassess. The staff believes that all students can succeed, and they insist on rigor by not allowing them to fail. Students own their learning and share their data with parents in regular emails. Collaboration, project-based learning, and flexible seating environment enable learners to flourish academically. 

Developing leadership and ensuring voice are critical at Cibola. The Courtesy Corps of student leaders in each classroom greet visitors and explain the focus of the day’s learning. Administration ensures student voice shapes the school culture. For example, a student focus group will roll out the new Portrait of a Graduate to the student body and provide ideas on systems to embed the POG in Cibola daily life. Adult agency has grown from teachers learning from teachers (TLFT). Teachers lead professional learning opportunities, participate in peer-to-peer classroom observations and feedback loops, and choose their personal learning pathways to grow their practice. Leaders provide time and support for the adult learning; as a result, teachers completed 82 digital PCBL learning modules in November. The Culture and Climate at Cibola High School has purposefully shifted. Staff believes that all students can succeed, and the focus is on developing the “whole student”, with student growth being the priority.  
",756,KnowledgeWorks
Nominator_2022-11_KnowledgeWorks_San Luis High School,KnowledgeWorks,"San Luis High School, one of six high schools in the Yuma Union High School District, serves 2551 students in the southwestern corner of Arizona, bordering Mexico. The school’s mission states: “Challenging students to think and learn for themselves.” The staff has implemented learner-centered practices and systems to make this mission a reality. The academic program provides multiple learning pathways that enable every learner to be college, career, and community ready on a personal path.  Learners track their data and regularly set goals during time designated across the campus. All teachers offer choice through Universal Design for Learning, allowing students options in how to access, engage, and demonstrate learning. Choice boards, multiple assessment opportunities, and collaboration in small groups based on data provide a just-right learning environment. The early shifts to standards-based grading are providing an equitable system of assessment and reporting. 

Agency is a natural outcome of the options at San Luis. Besides the conventional structures such as Student Council and National Honor Society, student voice is intentionally amplified through the principal’s Student Advisory group, where students are leading a positive campus culture. Students co-created school-wide standard operating procedures for campus issues like cell phone usage, hallways, etc., to ensure a safe, productive environment. The robust Career Technical Student Organizations provide a platform for leadership growth and demonstration of personal achievement through national competitions. Four of these clubs received the 2022 Gold Chapter of Distinction award based on student performance. Both inside and outside the classroom, every learner can choose to excel at San Luis High School. 

",757,KnowledgeWorks
Nominator_2022-11_Future Focused Education_Zuni High School,Future Focused Education,"In an effort to sustain their core values and language, the Zuni Public School District established themselves as independent from the larger, neighboring district in the 1980's. Zuni High School has committed to continue efforts to sustain the language and culture of the community. To do so, they have developed a graduate profile, a community-centered capstone culminating project and assessment, and are shifting to culturally relevant and sustaining competency-based teaching and grading practices. ",758,Future Focused Education
Nominator_2022-11_The University of North Carolina System_Aggie Academy,The University of North Carolina System,"Aggie Academy seeks to stand out as a transformative leader in reaching students within the framework of black liberatory practices in order to disengage from the traditional educational framework. In conjunction with the university partnership, educators and students are introduced to practices that are culturally relevant to ensure high academic achievement for all students, regardless of their ethnic or cultural backgrounds. There is also a focus on a full integration of STEAM to teach students critical thinking skills that will help them problem solve and develop their executive functioning skills while also focusing on the social-emotional learning that helps students deal with the extraneous variables that impact their ability to process information in the learning environment.",759,Anonymous
Nominator_2022-11_Ohio Department of Education: The Innovation Lab Network_Perry Ingenuity Institute,Ohio Department of Education: The Innovation Lab Network,"Perry Ingenuity Institute was designed with 3 driving questions:  How can students build Language and Math Skills through active learning in a setting that make learning winnable?  How can students be involved in highly motivated learning that make school a place of Joy where they can become the best version of themselves?  How can students build relationship with each other and teachers over time?

Students spend part of their day working in customized groups with teachers, peers, or individually on Language Arts and Math skills at their own level.  Learning time is active and engaging.  Students begin and end each day working on student generated learning and creating/caring for our learning environment.  The institute is designed so students stay from 1st through 4th grade with their same peers and teachers.",760,Ohio Department of Education: The Innovation Lab Network
Nominator_2022-11_The Learning Accelerator_Great Hearts Online,The Learning Accelerator,"Great Hearts Online has taken their classical liberal-arts design and turned into into a flexible, online program for public school students in Texas and Arizona. They emphasize the importance of discussion, most notably in their application of the traditional socratic seminar to a virtual environment.",762,Anonymous
Nominator_2022-11_National Indian Education Association_Skyline High School,National Indian Education Association,"Skyline High School hosts a Seven Generations Health Center. Operated by Native American Health Center, the health center emphasizes prevention, integrated care, and the removal of access barriers. It aims to improve adolescent health, well-being, and success in school by increasing access to comprehensive, high-quality health care services. Services offered are free and confidential to all Skyline students.",763,National Indian Education Association
Nominator_2022-11_Transcend_Robert F. Smith STEAM Academy,Transcend,"The HBCU-style high school is founded upon the principles/best practices of HBCUs; They have a focus on authenticity, relationships and community and have a clear framework of expectations that are grounded in the principles of restorative practices and liberatory design. Their academic approaches include: a comprehensive STEAM approach, project-based learning, and enrichment courses. ",764,Transcend
Nominator_2022-11_NewSchools Venture Fund_Ednovate Virtual Academy,NewSchools Venture Fund,"Ednovate Virtual Academy focuses on using personalized learning to fuel student growth, assisted by a on college-going culture and technology.",765,NewSchools Venture Fund
Nominator_2022-11_NewSchools Venture Fund_Purdue Polytechnic High School - North,NewSchools Venture Fund,We provide learning experiences through projects and assess students by outcomes. We engage with the community as our authentic audience and set out students on a path to post-secondary success.,766,NewSchools Venture Fund
Nominator_2023-11_Getting Smart_Purdue Polytechnic High School - North,Getting Smart,"The PPHS Lab high school uses state funding and operates in partnership with industry and community members. Their growth plans include scaling to serve 40 students in 2024-2025, with the intention of replicating upon demonstrating model efficacy and viability. ",766,Getting Smart
Nominator_2022-11_NewSchools Venture Fund_Purdue Polytechnic High School - South Bend,NewSchools Venture Fund,We engage students in projects through PBL and Design thinking assessing and providing feedback using outcomes aligned to the most important state standards.,767,NewSchools Venture Fund
Nominator_2023-11_Getting Smart_Purdue Polytechnic High School - South Bend,Getting Smart,"The PPHS Lab high school uses state funding and operates in partnership with industry and community members. Their growth plans include scaling to serve 40 students in 2024-2025, with the intention of replicating upon demonstrating model efficacy and viability. ",767,Getting Smart
Nominator_2022-11_Transcend_Icon Preparatory School Jacksonville,Transcend,"Icon prep takes a mastery-based approach to learning with a focus on inquiry. The learning experience at Icon Prep is structured around: Independence levels; student agency and goal setting; extended year, extended day; mixed-age and peer learning; as well as community learning (mentorship from community members; learn from the community through guest speakers, field studies, and community service; exhibitions). The school cultivates a strong college-going culture within young children (a best practice for HBCU like schools)",768,Transcend
Nominator_2022-11_Transcend_Aventuras Forest School,Transcend,"Aventuras is a language immersion forest school serving ages 3-6. The entire school day is spent outdoors in LA's parklands. They use an emergent play-based curriculum, where Spanish is woven into everything that they do -- from story telling to discovery trecks to imaginative play. Educators build the curriculum to meet the moment. Learning is playful, self-directed, engaged, and has a strong anti-bais emphasis. ",769,Transcend
Nominator_2023-11_Transcend_UP Academy,Transcend,"UP Academy's unique methodology includes universal accommodations, a community framework, multi-sensory learning and a project based approach that works to build agency and develop important social emotional intelligence. Students love to come to school, can't wait to work on their next project and show growth rates at twice the national average. ",770,Anonymous
Nominator_2022-11_Transcend_UP Academy,Transcend,"UP Academy's methodology includes universal accommodations, a community framework, multi-sensory learning and a project based approach that works to build agency and develop important social emotional intelligence. ",770,Transcend
Nominator_2022-11_Transcend_Keres Children's Learning Center,Transcend,"They fuse Montessori and cultural relavance through deep connection with their Keres language and culture. They don't. believe academic and culutral success are mutually exclusive. Very whole child, intergenerational, language immersion. They also have established the  Indigenous Montessori Institute (IMI) to train adults in their building. The leader is a lovely woman.",771,Anonymous
Nominator_2022-11_Transcend_Keres Children's Learning Center,Transcend,The Keres Children’s Learning Center (KCLC) is a Keres-language revitalization school that uses an intergenerational approach to immersion and dual language with Montessori pedagogy to give children (ages 2½ –12) the best of both worlds—an opportunity for children to learn through their heritage language of Keres while simultaneously accessing an academic curriculum that challenges their intellect and values their whole being.,771,Transcend
Nominator_2022-11_Transcend_AIM Academy,Transcend,AIM Academy is a Research-to-Practice School that is continually pioneering the technology and techniques proven to benefit children with language-based learning differences. ,772,Transcend
Nominator_2023-11_Transcend_St. Benedict's Preparatory School,Transcend,"St. Benedict's creates meaningful student leadership opportunities, social-emotional support systems, and community-building structures. The success of the model hinges on the idea that students are responsible for their own development as well as that of their peers. While the model was developed explicitly to serve students of color and students from low-income backgrounds, it has the potential to support students from all racial, religious, and socioeconomic groups.",773,Anonymous
Nominator_2022-11_Transcend_St. Benedict's Preparatory School,Transcend,"St. Benedict’s fosters a strong sense of community and takes a whole-child approach to support students to fulfill their potential. They create meaningful student leadership opportunities, social-emotional support systems, and community-building structures. ",773,Transcend
Nominator_2022-11_Transcend_Phoenix Coding Academy,Transcend,"Phoenix Coding Academy is a high school focused on computer coding and mutliple technology pathways through an inquiry-based and project-based instructional design.

Community and industry partnerships facilitate guest instructors and workshops, field trips, mentors and job-shadowing, and internships for students and staff. CTE pathways such as software development (game, app, and web development) and computer networking and cybersecurity may lead to select industry certification and college dual enrollment, and will prepare students for success in college, career, and life.",775,Transcend
Nominator_2022-11_Transcend_PXU City,Transcend,"At PXU City, the city is your classroom. Students at PXU City can earn course credits in-person from their choice of any campus in the district, via on-line courses, or through internships and work experience. Students work with their PXU City counselor and develop personalized plans addressing areas of interest, course options, and class times/locations. For example, a student may not start classes until 10:00 AM, and/or they may take a course online at 9:00 PM. They may take general education classes or classes that are more specific to a career interest.

The school is designed to maximize students' active self-direction, customization, and choice while also retaining the benefits of a caring community and close relationships with adults and peers.

",776,Transcend
Nominator_2022-11_Transcend_Anderson Institute of Technology,Transcend,"Anderson Institute of Technology offers high school students from across three districts the opportunity to engage in a PK-20 educational pathway with dual credit opportunities and industry certifications that prepare every student to enter the workforce and be successful after high school graduation. The school offers 20 different programs in areas such as aerospace technology, machine technology, agricultural sciences and biosystems technology, and computer networking and cybersecurity.",777,Transcend
Nominator_2022-11_Barr Foundation_EVOLVE Academy,Barr Foundation,"Project-based learning with transformative learning experiences
Primary person model
Post secondary success planning with students",778,Barr Foundation
Nominator_2022-11_KnowledgeWorks_Oakes Public School,KnowledgeWorks,Oakes is using learning progressions to define entry points for learning and developing personalized learning pathways based on readiness,779,KnowledgeWorks
Nominator_2022-11_Vermont Agency of Education_Hartford Area Career and Technology Center,Vermont Agency of Education,"Hartford Area Career and Technology Center (HACTC) provides career technical education to high school students, with a focus on preparing students for college and for high-skill, high-wage, in demand careers. HACTC also has a strong Justice, Equity, Diversity and Inclusion (JEDI) student leadership group that has partnered with school leaders to improve equity and inclusion at HACTC. While all of their programs are worthy of recognition, this nomination puts a spotlight on HACTC’s new Information Technology Program (a full article about this program can be found on pages 8 – 11 of this publication: https://issuu.com/kboyarsky/docs/westlebanonvalleynews_20221110_svalleyparents?fr=sNmMwYjMzNzU4Mg
 

 HACTC’s Information Technology Program provides students with hands-on, project-based, experiential learning, post-secondary credentials, and dual enrollment college credits. While still in high school, students in this program have the opportunity to:
 

 • Earn CompTIA A+ certification, a post-secondary certification that is the industry standard for a career in information technology.
 • Participate in the Amazon Web Services Academy and become AWS certified cloud practitioners.
 • Earn CISCO CCT Routing and Switching certification. 
 • Earn dual enrollment college credits through River Valley Technical College. Courses include Computer Architecture and Operating Systems and Introduction to Networks.",780,Vermont Agency of Education
Nominator_2022-11_KnowledgeWorks_Bismarck Career Academy and Technical Center,KnowledgeWorks,"Empower[Ed] is a personalized path to graduation based on who students are and how they learn best. Learners engage in authentic, self-directed learning in areas of interest to them.",781,KnowledgeWorks
Nominator_2023-11_Transcend_The Primary School,Transcend,"The Primary School brings together all of the adults in a child’s life, including parents, educators, and health care professionals to support them. The model starts early, is trauma sensitive and culturally responsive, and includes a parent support program.",782,Anonymous
Nominator_2022-11_Transcend_The Primary School,Transcend,"The Primary School centers the whole-child so that all children, regardless of the barriers they face can overcome them and be prepared to learn. Their partner with parents, have comprehensive wraparound services and start early (several years before kindergarten). ",782,Transcend
Nominator_2022-11_Barr Foundation_Margarita Muñiz Academy,Barr Foundation,"Dual language school
City as a campus programming - internships, dual enrollment, community service and expeditions
Culturally responsive
Portrait of a graduate - competencies",783,Barr Foundation
Nominator_2022-11_Barr Foundation_Manchester High School,Barr Foundation,"Comprehensive high school transformation
Learning beyond the school walls
Red Hawk Flight Plan - capstone experiences aligned to portrait of a graduate
Post secondary planning
Academies and pathways
Early college / dual enrollment / career technical education",784,Barr Foundation
Nominator_2022-11_Barr Foundation_Rogers High School,Barr Foundation,"Comprehensive school transformation
Teacher collaboration and teaming
Multilingual learners' program
Student empowerment and voice activitation",785,Barr Foundation
Nominator_2022-11_NewSchools Venture Fund_New School of San Francisco,NewSchools Venture Fund,"The New School of San Francisco is a tuition-free public school designed in partnership with local educators, parents, and community leaders. Inquiry, equity, and personalized learning are at the heart of how our students learn, grow, and thrive. We are currently serving Kindergarten through 8th grade. Our mission is to demonstrate a holistic 21st century education that instills a love of learning now and prepares students and families for success in the future. We believe in “Inquiry for All”—all children should go to school where they can drive their learning, ask big questions, and take risks. This belief fueled the creation of our school in 2015.",786,NewSchools Venture Fund
Nominator_2022-11_Remake Learning Network_California Area High School,Remake Learning Network,"California Area School is challenging the traditional notions of school by experimenting with grades, individualized educational programs and where students learn.",787,Anonymous
Nominator_2022-11_The Center for Learner Equity_Arthur Ashe Charter School,The Center for Learner Equity,Arthur Ashe is part of Firstline schools charter network in New Orleans is a charter network. The network's philosophy emphasizes joy and anti-racism. The instructional model incorporates enrichment and out-of-school experiences as a key part of learning for all students. ,788,The Center for Learner Equity
Nominator_2022-11_The Center for Learner Equity_Langston Hughes Charter Academy,The Center for Learner Equity,"Langston Hughes Academy is part of Firstline schools charter network in New Orleans is a charter network. The network's philosophy emphasizes joy and anti-racism. The instructional model incorporates enrichment and out-of-school experiences as a key part of learning for all students. During parts of the pandemic, certain classes temporarily re-located to the closed children's museum to hold their classes there and do more experiential and outdoor learning.",789,The Center for Learner Equity
Nominator_2022-11_Transcend_Champlain Valley Union High School,Transcend,"Strong learner-centered model arrived at via deep storytelling processes (including bringing in a storyteller from the Moth) so that students are able to articulate who they are and their whys and whats for learning. Learner profiles, flexible groupings, flexible pathways.",790,Transcend
Nominator_2022-11_Transcend_Greater Lawrence Technical School,Transcend,"CTE school in partnerships with MIT. Learners spend 50% of their time in career path specific learning. Students entering their freshman year explore each career and technical program and then ""declare a major"" which they study the rest of high school. There are about 20 areas to choose from and learners can earn credit / certifications. ",791,Transcend
Nominator_2022-11_Transcend_Kairos Academies,Transcend,"Kairos has a commitment to educating St. Louis children for their future. Their teaching and learning philosophy includes highly personalized learning, teachers as coaches and guides, project-based learning, and civic learning. They support this philosophy by adapting flexible school schedules that are year-round, tech-enabled softwares to further individualize instruction, as well as sustainable adult roles and training to ensure their talent stays.",792,Transcend
Nominator_2022-11_Transcend_Kairos Academies,Transcend,"rigorous, credit-bearing, tuition-free college course of study in the liberal arts and sciences for students in urban schools who don't usually have access to such programs (11-12 grades)",792,Anonymous
Nominator_2022-11_Transcend_Navajo Preparatory School,Transcend,,793,Transcend
Nominator_2022-11_Transcend_Blue School,Transcend,"Learning is situated in inquiry and deep questions, even for the youngest learners. This inquiry is situated in place-based and interdisciplinary contexts. Also deeply commited to community and being sstewards of the environment. Assessment and presenting student learning in visible and actioanble ways is important. ",794,Transcend
Nominator_2022-11_Transcend_The Nueva School,Transcend,"They are a independent school for gifted learners and are 62% students of color. They use design thinking and PBL (partner with Stanfor'd dLab), lots of community and global service and sustainability intitiatives, deep social justice commitment, teacher prep pipeline, etc.",795,Transcend
Nominator_2022-11_Mindcatcher_Schools of Perea,Mindcatcher,Perea Elementary is weaving social emotional learning throughout every aspect of the student experience. All teachers are trained on using SEL strategies in their lesson planning and classroom routines and systems. Their team includes several social workers who support students' emotional well being and collaborate with teachers and parents. They also have dedicated space in their building for addressing mental health. They set high expectations for academic outcomes while also prioritized student and staff wellness.,796,Mindcatcher
Nominator_2022-11_The Learning Accelerator_Belleville Township High School Alternative Day Program,The Learning Accelerator,The CAVE is offering in-demand vocational programs so that students can take advanced courses beyond what are offered on the district's tradititional campuses. Students graduate with college credit and are ready to embark on their chosen career pathway. This learning environment is reimagining the instructional core to prepare students to be ready for tomorrow's workforce. ,797,Anonymous
