"nominator","year","school_id","official_school_name","website","nominator_reason"
"KnowledgeWorks",2021,374,NA,NA,"It is a strong student-centered learning ecosystem that truly relies on partnerships across the community to meet learners' needs, interests, and goals as part of their formal learning experience."
"Getting Smart",2021,375,NA,NA,"Young Women's College Preparatory Academy (YWCPA) opened in 2011 in Houston in partnership with the Young Women's Preparatory Network (one of eight other similar schools in Texas). YWCPA is an all-girls public school that focuses on STEM by offering a rigorous college-preparatory curriculum that aims to serve students from low-income households. Unlike other Houston public schools, students attending YWCPA are required to follow the Distinguished Graduation Track. In addition to the rigorous curriculum, students are encouraged to participate in personal/academic enhancing activities such as robotics, sports, dance, arts and more."
"Anonymous",2021,376,NA,NA,"The only single-gender school in the NTN network, the curriculum is based on Project/Problem-Based Learning instructional approaches grounded in the state standards.  The culture is based on Trust, Respect, & Responsibility, with an extensive emphasis on core Student Learning Outcomes which include: Agency, Knowledge & Thinking, Oral Communication, Written Communication, and Collaboration. A focus on STEAM (Science, Technology, Engineering, Arts & Mathematics) and Service."
"Transcend",2021,377,NA,NA,"Bard Early College High School provides a rigorous liberal arts education to a diverse group of students. The faculty are college professors, and students graduate in four years with both a high school diploma and an associates degree from Bard College."
"Anonymous",2021,378,NA,NA,"They utilize a district-wide 1:1 program of personalized learning for all K12 students. They utilize mastery-based learning (multi-age, no bells, different pathways to learning and demonstration of learning), blended Learning (1:1 iPads), and project-based Learning."
"Open Way Learning",2021,381,NA,NA,"This school creates hundreds of internships for their students with dozens of large US industry leaders in the Charlotte area supported by a wealth of training programs and classes at the school. This has led to students pursuing careers they would not otherwise had access to.  Millions of dollars have been raised and these youth are coming out of HS gainfully employed and ready for ongoing post-secondary pathways.  Amazing! https://youtu.be/tWdOiP-9tcU https://youtu.be/UlSqJcEqc30"
"A Revolution in Education",2021,381,NA,NA,"Olympic HS takes a rather unique approach to career and workplace readiness by providing students with the ability to choose from eight career-based pathways that are part of the school's traditional academy arrangement. This community-facing approach has fostered hundreds of industry-school partnerships that give students multiple ways to connect academics to real-world problem solving. For example, these external organizations have, to date, donated over 26,000 hours and more than $16M to support student projects and programs. Olympic is classified as a 21st century STEAME school (Science, Technology, Engineering, Arts, Math, and EQ) and its experiential learning approach has been featured in CNN, NPR, PBS, the Wall Street Journal, the Washington Post, CNBC, U.S. News and World Report, as well as Ted Dintersmith's book, """"What School Could Be."""""
"Education Evolving",2021,385,NA,NA,"Woods promotes academics, creativity, and community taught by teams with a student to teacher ratio of 18:1. Instruction focuses on the whole child. Individual student choices are part of an enriched curriculum for all students to encourage creative thinking and problem solving. Problem based learning is an integral component of our philosophy."
"A Revolution in Education",2021,386,NA,NA,"They bring industry partners into the building and students work on real-world projects and internships with these partners."
"The Learning Accelerator",2021,387,NA,NA,"Amazing teachers and approach to remote. There is also an overarching feel of joy and a strong culture to ensure all students feel supported and safe."
"Vermont Agency of Education",2021,390,NA,NA,"River Bend Career and Technical Center is a regional technical center that serves high school students from five sending school districts in Vermont and New Hampshire. It is a located in a very rural part of the state. Its high sending schools are small -- each with no more than 300 students in grades 9 through 12, and some with half that number.  On the Strengthening Career and Technical Education for the 21st Century Act (Perkins V)accountability measure for nontraditional program concentration, River Bend Career and Technical Center has the highest performance in Vermont. Defined as """"CTE concentrators enrolled in programs leading to a field non-traditional for their gender, as well as non-binary, non-conforming, and transgender students,"""" River Bend Career and Technical Center's three year average is 21.01%, compared to the overall state average of 11.71%.  River Bend Career and Technical Center believes this data represents work the center has done to create a safe, respectful, inclusive culture. Despite the fact that they have the highest performance on this measure in the state, the school's leadership team recognizes that there is more work to be done. Their Perkins V Comprehensive Local Needs Assessment identified areas for improvement, and their four year plan calls for continued work to increase the number of students enrolling in programs that are nontraditional for their gender.  In addition, after full staff training on preventing bullying and harassment and identifying and intervening when bullying and harassment occur, River Bend Career Technical Center gave deliberate consideration to creating learning environments that are safe and respectful for every student. As a result of this work, River Bend Career and Technical Center determined that they needed to have zero tolerance for displays of the Confederate flag (e.g. on student clothing, backpacks, notebooks, vehicles, etc.). Brian Emerson, the school's Director (Principal), reports that it was hard work, but they stayed the course. He notes that the work River Bend Career and Technical Center has done over the past five years has positioned them to continue to address issues of equity and inclusion and to work toward racial equity in a very rural community with limited racial diversity."
"Vermont Learning for the Future",2021,392,NA,NA,"Putney has a decades-long history of progressive education innovation. Putney focuses on learner voice, place-based, equity-centered education for social and global good. Putney stands out through its work program, focus on social and environmental justice, participatory democratic organization, project-based learning and competency/mastery-based assessment."
"Vermont Agency of Education",2021,393,NA,NA,"Randolph Union Middle/High School is designing for equity through the implementation of ongoing equity-focused professional development in the form of Professional Learning Communities. Faculty meet regularly in small groups to discuss current equity issues in the school and wider community, explore solutions, examine implicit bias, and to research and develop different curricular and pedagogical resources. These PLC groups provide a means through which to foster a culture of continuous equity learning amongst faculty, as well as a space to process personal experiences with inequity and bias. As part of RU's regularly scheduled professional development, the PLC structure is supporting faculty in developing equity as a lens through which to approach teaching and learning.  As part of this ongoing professional development, RU developed a set of social justice standards adapted from those published by Teaching Tolerance, called the Democratic Engagement Standards. These standards provide a structure through which teachers can design learning experiences that ask students to grapple with issues related to identity, equity, and structural injustice. RU is currently in the pilot year of using these standards, working towards identifying places in the curriculum that already provide opportunities to address these topics, in addition to places where these standards and topics could be further developed. As the Democratic Engagement Standards are not content-area specific, and can be integrated into any subject area, RU is actively working towards incorporating this essential work in classes beyond just the humanities.  The equity-focused PLC program also works to foster a culture of anti-racist action, encouraging teachers to collaboratively address systemic inequities in the school building. Student activism is encouraged and supported through project-based learning opportunities. Students organized and hosted the first ever state-wide student conference on racial justice in the Spring of 2019, bringing together students and activists from across Vermont. While the 2020 conference was postponed due to COVID-19, students continue to take action on injustice in their community through developing social justice lessons for younger students, writing letters to the editor, and supporting and amplifying the work of other activists in the state."
"Anonymous",2021,398,NA,NA,"Sam Houston is in year 1 of implementing the Third Future Schools model, which has completely changed the culture of the school and opportunities for students. The model focuses on personalized learning and direct instruction with a focus on meeting more than solely academic needs.   Personalized learning is an approach to instruction that is centered on the student. It taps into a student's needs, strengths, and interests to engage students and to provide a â€œbest fitâ€ education for each student. The instruction is tailored to the individual needs of the student, and students learn in a way that best meets their learning style. Third Future's personalized learning program features four distinguishing characteristics: 1. Learner Profile is a summary of the student's academic history, strengths, interests, social-emotional needs, and how he learns best. It is developed with the student and the parents in order to let the school know how to provide a tailored education that meets the individual student's needs and goals. 2. Student Learning Plan is the individualized, academic plan that will enable the student to reach academic proficiency and meet his other learning goals. It outlines the part of a student's curriculum that will be taught directly and the activities and lessons that will be customized for the student. 3. Flexible Learning Environment allows students to have a more tailored schedule and allows the teacher to use multiple strategies to differentiate instruction. Students may receive some instruction in a large group (25 students) or work in a small group, with a partner, or by himself. With the help of technology, and because the doors of the school will be open from 6:30 a.m. until 6:00 p.m., students may also learn before school, after school, or at home. 4. Competency-Based Education allows students to learn at their own pace. If a student has already mastered an objective or standard, they can move on to accelerated objectives or to a topic related to their other learning goals. If a student is struggling with a particular concept, she can take more time and received more individualized or small group instruction.   Third Future is also implements the """"dyad"""" concept that establishes requirements for experiences that are often only available to students with means, such as participating in sports, learning an instrument, traveling, and more. Third Future provides these experiences to students who are not able to afford them.   Students in the upper grades at Sam Houston also take a course called The Art of Thinking. To my knowledge, Third Future Schools spend the most time on teaching critical thinking and informational literacy, which is so critical to our current society.   Finally, Sam Houston is currently open from 6:30-4:30 (and even later outside of the current pandemic), which provides families free before and after school care. Sam Houston has done an incredible job operating (safely) during the pandemic and was featured in the local news paper. The school offered in person instruction much earlier than other local schools."
"Anonymous",2021,401,NA,NA,"The impact that UCS has had on the local community that it serves is transformational.  The TODAY show did a feature story on UCS as well as it has been recognized by the USDOE as spotlight school.  UCS is truly â€œrootedâ€ in place and is grounded by the place-based educational philosophy that education has a local to global context, establishes community, and focuses on a learner-centered, design thinking approach.  The school climate at UCS is focused on students as individuals and schools as communities, tapping into resources and interests in students and all stakeholders to foster an engaging, collaborative learning environment focused on growth.  University Charter School is a PK-10 community, not just a school, as evidenced by the level of community engagement and partnership.  The formal place-based education approach at UCS is linked to higher academic achievement, energized teachers, transformative school culture, improved student learning, and an impact on students to become active citizens and improving connections between schools and â€œplaceâ€, the local community.  UCS is truly â€œrooted in placeâ€ in rural, Sumter County.  Serving students in the west Alabama region of Alabama's Black Belt brings many unique challenges that UCS embraces as opportunities to make a real difference in the lives of the students, families and communities that it serves.  UCS was established to change the educational and economic landscape of the community. UCS is intentionally designed to equip students with essential skills to help revitalize their community and to attract business and industries back to the community by focusing on a robust interdisciplinary curriculum focused on college and career preparation.  The community, the place, is instrumental and foundational to the mission of UCS."
"Anonymous",2021,403,NA,NA,"Desert Spirit has adopted using a blended learning model while teaching virtually. Teachers have taken the traditional definition of blended learning and are adjusting it to their current reality. While virtually teaching the students are in small groups, working independently on various websites, doing guided reading, etc.   Desert Spirit has also received a grant from Verizon and has become a Verizon Innovative Learning School {VILS}. This grant has allowed our site to become a full 1:1 school. So even though we are virtual each student in the household will have a device. All of our 4-8 students have an ipad that was provided in the grant. Our K-3 students are using our chromebooks. We were then able to loan out extra chromebooks to other sites that didn't have enough devices so that those students would not need to share either.  This grant has also provided multiple Professional Development for our teachers to help them with understanding and implementing blended learning in the classroom."
"Anonymous",2021,404,NA,NA,"Our oldest school, Palo Verde has very high rates of student poverty, and was plagued for years as a school with a bad reputation. It was """"that"""" school on the south side of town. However, with strong leadership and a focus on becoming the best kept secret in Arizona, their academic achievement has improved every year for the past 4 years. They've focused heavily on building a community of learners, leaders, and innovators by partnering with various organizations to bring STEAM education into their routines. They've also embraced Covey's 7 Habits to help develop leadership and social emotional learning competencies for students and staff, and are working to become a Leader in Me Lighthouse School. They recently applied for and received recognition as an A+ School of Excellence, which was a huge win for this little place. And although the A+ recognition was great, it probably isn't enough considering the great things happening here."
"Anonymous",2021,406,NA,NA,"Bioscience HS is one of the highest-performing high schools in Phoenix.  With a unique project-based STEM approach, a collaborative school culture attuned to equity, and phenomenal results, Bioscience HS was recently recognized as a national Blue Ribbon school."
"Arkansas Team Digital",2021,407,NA,NA,"Overall, BJHS is relatively new to implementing blended learning, so for this school year, what stands out the most is the commitment to being flexible and providing multiple educational avenues for students that have allowed parents and students to select a learning environment that provides security and safety, but also provides a quality educational experience for our students. Teachers have moved to use Google Classroom as the primary interface with students. The Batesville School District has allowed students to choose between 3 different learning environments this school year, based on the parent and student preference. Most of our students are in person or remote, which for BJHS means the student is joining a physical classroom via Google Meet from an alternate location. This allows the student to take part in classroom discussions and have access """"real-time"""" to a teacher but doing so from the safety of their location of choice.  As far as doing things differently, BJHS is a one to one school. All students are issued a Chromebook, and the vast majority of our curriculum is provided via a digital format. Because BJHS had chosen to go one to one a few years ago, the staff and students were already in a situation to pivot to off-site learning when COVID struck our area. Though there were issues to resolve, our district was in a strong position to roll out digital learning to students. When this school year began, all students were given 3 options regarding how they would receive their education. Students were given the option of attending in person, attend """"remotely"""" (which is described above), or attending virtually.   Virtual instruction at BJHS consisted of students accessing courseware via Edgenuity or Lincoln Learning and working at their own pace.  This provided our families and students the ability to select the learning option that best suited their needs. There is no other district in our geographic area that I am aware of that provided this many students' options."
"Learning Policy Institute",2021,409,NA,NA,"Felicitas and Gonzalo Mendez High School, located in Boyle Heights in East LA, is a full-service community school that places its students and their futures at the heart of its equity-oriented vision. Mendez operated as a community school long before it became one of the first members of the Los Angeles Unified School District (LAUSD) Community School cohort in 2019. This means that the school prioritizes the four pillars of a community school: integrated student supports (wraparound services), extended learning time and opportunity, distributed leadership, and family and community engagement. Students understand that their wellbeing is at the heart of the school's mission. In 2019, 85% of students reported feeling safe at Mendez and 81% of students reported that they are happy to be at Mendez (LAUSD School Experience Survey, 2019). At Mendez, student learning is also a priority, and the school's graduation rates have risen dramatically in the ten years since its founding in 2009. The school began with a graduation rate of nearly 50% and now has a graduation rate of over 84%, 90% of whom go to college.  As part of the school's focus on integrated student supports, Mendez High School partners with a number of different community organizations that provide services to students and their families. These community partners fulfill different roles on campus and can engage in case management, put on whole-school events, and offer group supports. Individual case management organizations, like Promesa Boyle Heights or Communities in Schools LA, provide one-on-one supports to students and families, often targeting dropout prevention and academic engagement through mental health supports or other interventions. The school also recently broke ground on a Wellness Center, where it will be able to provide mental and physical health resources to the Boyle Heights community. This Wellness Center is the result of over 10 years of organizing by the school and its community partners.   The school also holds high academic expectations for its students and launched two initiatives that target student learning gains: AP for All and Computer Science for All. As part of these initiatives, all Mendez students take at least one AP course and at least one Computer Science course prior to graduation. Many students choose to continue taking AP and Computer Science courses once they are exposed to the experience. Teachers and parents were concerned at the outset of the AP for All initiative that students would all choose to take AP Spanish, as the student population is predominantly Latino/a/x and there is a higher proportion of English Learners at Mendez than there are across the district and statewide. And yet, students have demonstrated an interest in a variety of AP courses since the initiative began. The school also focuses on the needs of students with disabilities and uses an inclusion model to ensure that students with special needs are given the same opportunities to learn as their peers.   Mendez's principal, Mauro Bautista, models a culture of distributed leadership. This is reflected in many of the aspects of the school, including its multiple governing bodies that include a variety of stakeholders throughout the community. There is a School Site Council, Local School Leadership, the School Culture Committee, the Family Action Team, and the House of Student Representatives. Many of the initiatives that are currently central to Mendez's approach are the result Principal Bautista seeking feedback from educators and families to guide decisions, including the school's Restorative Justice, Computer Science for All, and AP for All initiatives, which were all started by Mendez teachers.  The school has a hands-on approach to family and community engagement, which it leveraged when the pandemic closed LAUSD schools. Mendez staff and community partners reached out to every student and family, and if they could not contact anyone they did home visits. At these home visits, they provided an array of services, including delivering food or supplies and providing mental health check-ins. They also leveraged these relationships with families to determine how to deliver instruction in the Fall of 2020. Teachers, families, and students came together over the summer to determine the master schedule in the fall. They chose a quarter system so that students could focus more deeply on fewer classes and so that teachers would have half of their typical caseload. They began planning for hybrid learning, where students will be on-campus part-time and their instruction will be aligned across the virtual and in-person learning environments.  Being on Mendez's campus is a joyful experience. Students whom you speak with readily share their learning, parents are frequently on campus volunteering or taking classes at its Family Center, and school leaders like Principal Bautista are often wandering the halls or working in the library because they both want to be accessible to the community and because they probably gave their office away to a community partner who is visiting campus. I'm excited to nominate Mendez because it is truly a community-based initiative that puts social and racial justice at the center of its decisions, which are all in service of the bright future of its students."
"National Center for Special Education in Charter Schools",2021,411,NA,NA,"TLC takes a unique approach to serving all students well by ensuring that academic content is delivered in line with their students' interests. All students are challenged and supporting in reaching high expectations academically."
"National Center for Special Education in Charter Schools",2021,412,NA,NA,"Renaissance Arts Academy cultivates a learning environment focused on equity and success for all students. Their model integrates arts into all aspects of their acadeic programming."
"National Center for Special Education in Charter Schools",2021,413,NA,NA,"Independent study, acacdemic intervention program with custom-built learning plans for all students. Their model engages parent in all aspects of their child's learning."
"Camelback Ventures",2021,414,NA,NA,"Crete's Mission: Crete Academy will deliver an educational program to students TK-6th grade who are homeless and living in poverty, that will meet their physical, mental and emotional needs while developing strong character and critical thinking skills so that each child is prepared for college and beyond.   Crete's Vision: One day, the cycle of poverty will end and children who once were homeless and living in poverty will be leaders of this world.  Too often this demographic is left behind. Having a school that is dedicated to the needs of this population is crucial to their overall success in life."
"Anonymous",2021,418,NA,NA,"Kepner Beacon Middle School has a personalized learning model with four key components  and is getting great results for students.  Blended Learning â€“ Differentiating competency-based lessons with one to one and in-house built online lessons where students can move at their own pace. Character Development â€“ By measuring the five character traits students are given feedback on their overall mental and moral development. Extended Day Opportunities â€“ Each quarter, they work with community partners to provide enrichment opportunities that build on student curiosity. Critical Thinking - Through data-driven inquiry and competency based learning, students develop their ability to evaluate evidence and solve problems."
"Anonymous",2021,422,NA,NA,"ITDS is a top-tier public charter school in the nation's capital that is in its 10th year. The school is based on a model that prioritizes student inquiry and a deep respect for the student experience. The Inspired model is based on Intellect, Inquiry, Imagination and Integrity (the """"4 Is""""). Instruction is primarily through inquiry-based methods and active learning approaches, where the teacher serves as facilitator and coach to support student learning. Instruction includes an emphasis on social-emotional learning, and classrooms are student-centered with students working in small collaborative groups, individually, and through child-initiated play. This model, which was developed with concepts from improv, is a K-8 school that truly has a sense of student ownership and responsiveness. The twice yearly learning showcase hosted by the school gives students a chance to walk parents and community members through their own independent projects developed throughout the year.  ITDS has its own teacher residency program and as such serves as an embedded professional learning community that utilizes master teachers to mentor new teachers in Inspired teaching. Not only are residents some of the strongest teachers for years at ITDS but residents are also able to bring their unique training in inquiry-based education to other public schools in DC and beyond."
"Fielding International",2021,427,NA,NA,"Cranston Public Schools (CPS) is an average-sized American public school district of twenty-two schools that serve an economically and ethnically diverse population.  Cranston is the third-largest city in Rhode Island, and typical of most American cities, most of its schools were built in the 1950s and '60s. Despite the advanced age of many schools in the District, CPS leadership proclaimed that """"we must go beyond warm, safe and dry."""" We had just completed a comprehensive school facility plan, reinventing and reimagining Cranston's schools for the new twenty years and beyond. When approached by CPS District leadership to identify a potential â€œPathfinderâ€ or demonstration project, the Eden Park School presented a golden opportunity.   The School has a very progressive Principal and a teaching staff that was ready to reimagine and redefine their roles as teachers by letting go of the assumptions of what used to be school. They have fully embraced project-based learning and the five stages of finding a solution, real-time collaboration, and a flexible schedule to match their learning environment' flexibility.   Eden Park Learning Community is an ensemble of student-centered collaborative spaces. Moving away from the one teacher, one room, and sole care of one group of students, it is an environment that supports learner-agency, transparent technology, and fosters a wide variety of teaching and learning situations. These situations range from small group and independent study to whole group instruction or one-on-one with a teacher. The spaces also emphasize the importance of teacher collaboration by deprivatizing the planning process and include workspaces that allow teachers to work both independently and collaboratively.  The adoption of the Learning Community model at Eden Park has brought more flexibility and variety in day-to-day learning activities.  The old corridor was absorbed into the Learning Commons, leading to an agile space that supports multiple ways of learning, and multiple groups of learners.  This type of shared commons created a diffuse distribution of students and collaborative work areas.  Transparency between Learning Studios and the Commons facilitates interdisciplinary PBL learning for kids, adults, and folks who push-into these spaces for special services. The teachers have embraced industry experts and community partnerships in every way. Industry partners now plan with teachers, launch projects, and are utilized for feedback throughout each stage in the problem-solving process.   Teacher professional development through FI is embedded into the fabric of their work. Cranston is involved in ongoing professional development, which includes a three-year teacher coaching program. Teachers develop mastery in a collaborative, interdisciplinary, project-based curriculum. Each year, the program becomes more student-centered, with learners identifying and defining problems and projects themselves by year three.   The results are in: at the 3rd-5th Grade Learning Community at the Eden Park School, the first completed, the level of engagement, personalization and physical comfort has reduced absences, seen a huge drop in disciplinary issues, and all but eliminated the need for specialized isolation and decompression rooms for students with special needs--instead, they are thriving within a suite of spaces shared by everyone in their learning community. The result is more learning, more joy, and less space required."
"A+ Schools",2021,428,NA,NA,"City High has been a model of innovation in public education for over a decade in Pittsburgh. It's graduation rate in 2019 was 96%. It's 6 year college or trade school completion rate according to the school in 2019 was 59%. And its chronic absence rate was only 2% compared to an average of 46% chronic absence in Pittsburgh Public Schools in 2019-2020.   The school focuses on a few things well, and graduates scholars at a high rate. Key to its model are: 1. 4 year looping - all students stay with the same cohort of teachers all four years so that strong relationships are built 2. Real world skills training - the school prepares all students by providing each with a laptop of their own, certifications in all Microsoft Office applications, and financial literacy training in each year 3. Internships - all students participate in internships in a career area of curiosity and the school has built an impressive set of relationships with community partners, and 4. Investments in supports - the school does not maintain a library or have sports teams, instead it leverages the assets of the City's resources for students to access extracurricular activities with nonprofits and research at local libraries and colleges. This trade off allows the school to invest more deeply in counseling and supports for students.  You can read more about City High here: https://www.ourschoolspittsburgh.org/rising-up-city-high"
"Anonymous",2021,432,NA,NA,"Charles Page High School uses a blended model to allow students the flexibility to choose career pathways and gain firsthand experience within the community. Their model allows for students to maximize their time within the high school setting and creates student choice to engage learning at the highest level."
"Education Evolving",2021,433,NA,NA,"The Urban Assembly School for Green Careers recognizes that overcoming our planet's environmental challenges is the biggest task facing the world today. We understand that as our economy becomes more green, many of the future's most promising careers will focus on solving the challenges of environmental injustice, and in ensuring equitable access to quality living and resources for all citizens. Our students will only be able to activate this mission if they are equipped with collaborative problem-solving and reasoning skills, empathy and awareness of how to interrupt injustice, and the knowledge of green industries and environmental issues. Therefore, we are committed to being a learning community dedicated to personal and community empowerment, college and career-readiness, and equity and access to and for our students, families and staff."
"Anonymous",2021,435,NA,NA,"Showing promising progress in piloting """"blended literacy""""."
"Anonymous",2021,436,NA,NA,"They have should great progress and commitment to blended literacy."
"National Center for Special Education in Charter Schools",2021,437,NA,NA,"Community Roots puts emphasis on creating an inclusive learning community where both academic and social aspects of students' learning experience are fully accessible, while maintaining a standard of academic excellence for all students."
"Achievement Network",2021,438,NA,NA,"PS/MS 206 is deeply immersed in the process for working toward educational equity. They are utilizing an integrated approach to academic and social-emotional learning, which they have not only continued in the face of the ongoing COVID-19 pandemic, but they have also expanded their focus on SEL. They are working hard to unlearn old practices of systemic racism through mandatory professional learning for staff and the integration of equity-based discussion questions in all student-focused conversations, which allow them to work toward becoming anti racist. They are also invested in building teacher-leaders to sustain and expand the work of both anti-racism/educational equity as well as SEL, which is particularly exciting."
"Diverse Charter Schools Coalition",2021,440,NA,NA,"The mission of The Museum School of Avondale Estates is to inspire students, teachers and the community to collaborate to develop strong critical thinking, interpersonal and academic skills in our students, which will prepare them for real-world success. The Museum School recently became members of the Diverse Charter Schools Coalition, expressing a desire to make their school more diverse, equitable, and inclusive. They have doubled their efforts in DEI work by, for example, launching a board of directors diversity committee and updating their strategic plan to include new initiatives such as the ones described here: https://themuseumschool.org/school-spotlight-diversity-inclusiveness-equity/"
"Branching Minds",2021,441,NA,NA,"Clearmont Elementary School deserves recognition for their innovative efforts related to building community at their school. Not only did they have the highest ratings in their district on student perception ratings in the area of sense of belonging (80% of students feel that they are valued members of their school community) but they also showed positive growth in those ratings from 2018-2019 despite starting with such high ratings.  The Clearmont Staff put a great effort into building a welcoming community by ensuring each student could identify a staff member they feel connected to."
"Anonymous",2021,442,NA,NA,"As an early adopter of elearning in Indiana, Noblesville HS has innovated and adjusted to remote and hybrid learning environments in a way that has provided choice and relevance in trying times.  The existing offerings allow for students to achieve dual credits and take part in opportunities that set students up for success beyond their days in the HS building.  They deviate from the previously mandated traditional structure while maintaining traditional options for students and families that work best within that format."
"Camelback Ventures",2021,444,NA,NA,"Jacob is an amazing leader. He is a true professional. After years of research on K-12 educational models across the country, pilotED embarked on a journey in 2019 to create a nationally standardized social studies curriculum that unearthed the true identities of this country's vast stories. From equity-centered social-emotional content to models of indigenous storytelling, their curriculum is unlike any other.  Their model is moving toward incorporating excellent aspects of Racial Identity Studies, â€‹Mental Wellness, Social Emotional Development, Social Identity Development, Gender Studies, Power & Privilege, and Rethinking Social Studies."
"Anonymous",2021,446,NA,NA,"Simply put, Eminence desires to be the Disney World of education. They want their students and teachers to have a """"Yes, and"""" attitude that learning is the goal and any opportunity to creating a positive learning environment should be taken. They are the first school in Kentucky to have a set of graduate competencies (profile of a graduate. In addition, almost 100% of their junior and senior classes have half of their schedule occuring at a nearby university three days a week."
"Anonymous",2021,448,NA,NA,"Culturally Relevant Assessments NÄ Ala Hoâ€˜okele (Guiding Principles) Ma o ka â€˜Ålelo Hawaiâ€˜i e ola ai nÄ iwi o nÄ kÅ«puna.  â€˜O ke Kumu Honua Mauli Ola ka pou hale o kÄkou. E lei â€˜ia ana nÄ â€˜ano aâ€˜o a pau i ka lanakila ma o ka â€˜ike kino. â€˜O nÄ â€˜ohana ke kula, ke kaiaulu nÄ kÅkoâ€˜okolu e kÄkoâ€˜o ai ka hale. Translation: The Hawaiian language is our foundation that enables us to honor our ancestors and perpetuate our traditions, The principles of Kumu Honua Mauli Ola, the Hawaiian Educational philosophy, form the support structure of our school. All learning styles will be supported so that our children will attain equitable success. Families, school and community are equal partners of our success."
"Anonymous",2021,449,NA,NA,"This is a Hawaiian medium school.  All instruction and business is conducted in the Hawaiian language."
"Diverse Charter Schools Coalition",2021,450,NA,NA,"Lycee Francais is a french language immersion school and member of the Diverse Charter Schools Coalition. Just prior to Covid, they created a new strategic plan that centers DEI, diversifying the board, and recruiting a diverse group of teachers and students."
"Diverse Charter Schools Coalition",2021,451,NA,NA,"Bricolage Academy's mission is to advance educational equity by preparing students from diverse backgrounds to be innovators who change the world. An early member of the Diverse Charter Schools Coalition, the word bricolage typically means a â€˜mash-up' or a creation from a diverse range of available things. DEI has been center to their model since inception, the school's ED and principal are both women of color, and they successfully enroll a diverse student body."
"Anonymous",2021,453,NA,NA,"This school staff works to provide a safety net for students in their community by supporting all areas of student life in a variety of ways.  The guidance office has a closet of clothes, the physical education teacher has extra shoes and outside gear, the school has a food pantry, and staff work as a cohesive unit to help connect students and families to the resources they need.  During the holiday season, the staff takes the time to purchase items for families in need so all students get the chance to have a positive holiday experience."
"Anonymous",2021,454,NA,NA,"This school has worked tirelessly to develop a response to intervention model where teachers make data based decisions to determine the instructional needs of students.  They then offer opportunities to support emotional health with a kindness celebration and other methods to remind students to always be kind to each other.  In normal years, they raise money for oil fund for families that need oil and provide food for families with an in-school food pantry."
"Fielding International",2021,456,NA,NA,"High School for Recording Arts starts with relationships. They understand that the students they serve have mostly had negative schools experiences and many live in adverse life conditions. They have a truly unique public-private partnership with Studio 4, a premier professional recording studio in the Midwest, to get kids excited to tell their stories and discover who they are through hip hop. The school is truly designed to meet the holistic needs of its students, with social & emotion learning and a commitment to equity at its core. Its for these reasons I am excited to nominate High School for Recording Arts to the Canopy Project."
"NACA Inspired Schools Network",2021,457,NA,NA,"Dzil Ditl'ooi School of Empowerment, Action and Perseverance (DEAP) is a community-based, Common Core-aligned state charter school committed to improving academic and cultural achievement opportunities for Native youth. In Navajo, New Mexico where DEAP is located, the area is rich with Native history, culture, land, and natural water sources. The mission of DEAP is to help students develop a sense of place, tradition, and wellbeing, preparing and empowering youth to take action in transforming their community and the world around them. DEAP offers equitable and culturally relevant learning environments and instructional material; maintenance of DinÃ© (Navajo) language; and opportunities for engagement with the local community. DEAP provides a strong, Indigenous curricula designed to be culturally relevant for a 100% Navajo student body by drawing on the rich cultural and social resources in the community that are often absent from traditional schools. DEAP's educational model rebuilds student' relationships with their culture and sovereign status, helping students reclaim pride in their history and community. For example, DEAP's classroom climate includes coursework that is accompanied by experiential opportunities, such as 6th-9th grade students working through a traditional KinaaldÃ¡ rite of passage ceremony, celebrating the transition from child to adult within the tribe. Students work together in planting a community garden with traditional seeds and plants. The DinÃ© language is closely interwoven into academic and experiential activities. This promotes comprehensive, hands-on learning, encountering language's role in describing traditional activities, and studying the etymology of language over time (such as the influence of Spanish and English). Student learning opportunities are connected to real life, their culture, and their community through service orientated projects. At a macro-level, this establishes a school culture and environment that embraces its Indigenous roots as well as the strengths that are abundant within the community."
"Anonymous",2021,459,NA,NA,"What stands out for me is that they are in their 4th year of implementing a career related graduation requirement."
"Anonymous",2021,460,NA,NA,"Their equitable approach to career opportunities for students. I am excited abotu their innovative work in ensuring that there are meaningful experiences with work prior to students graduating from Salem High School."
"Anonymous",2021,461,NA,NA,"This is a small, rural, PK-8 district near one of Montana's Indian Reservations.  Technology, community engagement, and smart use of data make this a highly effective school and a standout among Montana's rural schools."
"Minnesota Learner-Centered Network",2021,463,NA,NA,"The MNCAPS choice extended to the 11th and 12th grade students, allows the learners to make authentic connections with mentors in a variety of professions. Students learn from seminars and 'teachers', as well as from experiences in the real world of the profession they are exploring. Students are involved in finding solutions to actual problems that come from real businesses and organizations they are connected to, through their mentor.  The skills they are learning are beyond the required state standards.  This setting increases the students' agency as a learner and provides many other skills, impacting their future."
