nominator,school_id,school_name_n,school_city_n,school_state_n,school_district_n,school_within_school_n,school_structure_n,nominator_reason,strong_covid19_approach,why_covid19_approach,know_school,suggested_tags_n,nomination_date,expanded_success,pbl,competency_education,design_equity,anti_racist_action,sel,blended_learning,school_participated,NCES_id
Fielding International,427,Eden Park Elementary School,Cranston,Rhode Island,Cranston Public Schools,No,,"Cranston Public Schools (CPS) is an average-sized American public school district of twenty-two schools that serve an economically and ethnically diverse population.  Cranston is the third-largest city in Rhode Island, and typical of most American cities, most of its schools were built in the 1950s and '60s. Despite the advanced age of many schools in the District, CPS leadership proclaimed that ""we must go beyond warm, safe and dry."" We had just completed a comprehensive school facility plan, reinventing and reimagining Cranston's schools for the new twenty years and beyond. When approached by CPS District leadership to identify a potential â€œPathfinderâ€ or demonstration project, the Eden Park School presented a golden opportunity.   The School has a very progressive Principal and a teaching staff that was ready to reimagine and redefine their roles as teachers by letting go of the assumptions of what used to be school. They have fully embraced project-based learning and the five stages of finding a solution, real-time collaboration, and a flexible schedule to match their learning environment' flexibility.   Eden Park Learning Community is an ensemble of student-centered collaborative spaces. Moving away from the one teacher, one room, and sole care of one group of students, it is an environment that supports learner-agency, transparent technology, and fosters a wide variety of teaching and learning situations. These situations range from small group and independent study to whole group instruction or one-on-one with a teacher. The spaces also emphasize the importance of teacher collaboration by deprivatizing the planning process and include workspaces that allow teachers to work both independently and collaboratively.  The adoption of the Learning Community model at Eden Park has brought more flexibility and variety in day-to-day learning activities.  The old corridor was absorbed into the Learning Commons, leading to an agile space that supports multiple ways of learning, and multiple groups of learners.  This type of shared commons created a diffuse distribution of students and collaborative work areas.  Transparency between Learning Studios and the Commons facilitates interdisciplinary PBL learning for kids, adults, and folks who push-into these spaces for special services. The teachers have embraced industry experts and community partnerships in every way. Industry partners now plan with teachers, launch projects, and are utilized for feedback throughout each stage in the problem-solving process.   Teacher professional development through FI is embedded into the fabric of their work. Cranston is involved in ongoing professional development, which includes a three-year teacher coaching program. Teachers develop mastery in a collaborative, interdisciplinary, project-based curriculum. Each year, the program becomes more student-centered, with learners identifying and defining problems and projects themselves by year three.   The results are in: at the 3rd-5th Grade Learning Community at the Eden Park School, the first completed, the level of engagement, personalization and physical comfort has reduced absences, seen a huge drop in disciplinary issues, and all but eliminated the need for specialized isolation and decompression rooms for students with special needs--instead, they are thriving within a suite of spaces shared by everyone in their learning community. The result is more learning, more joy, and less space required.",Yes,"In March, when schools shut down for Covid-19, Eden Park Elementary found their students in a Fielding International designed Learning Community space, successfully set up their at-home learning environments. Their teachers found they could work more independently than the students who were not in learning environments that provided the freedom and agency for learners to independently appropriate the types of spaces based on the kind of learning and thinking they were engaging in. At a time when many schools and teachers were scrambling to create online environments that were supportive and rigorous, Eden Park teachers went right into remote PBL. They maintained their community and industry partner work via meets and reimagined formative assessments to make sure students still uncovered content through the experience versus the coverage of content. Since last year, the teachers have focused on cognitive sensorial at home and hybrid learning environment design, magnetic product protection, and micro-coll...","I am the Fielding International Senior LEarning Designer, work with the Eden PArk teachers weekly, and helped to design their spaces.","The Eden Park project proves that when a school is designed for the whole student at every level, it will prepare them and their teachers for the 21st century and show them a new vision of the future through the joy of learning. In March, when schools shut down for Covid-19, Eden Park Elementary found their students in a Fielding International designed Learning Community space, successfully set up their at-home learning environments. Their teachers found they could work more independently than the students who were not in learning environments that provided the freedom and agency for learners to independently appropriate the types of spaces based on the kind of learning and thinking they were engaging in.",November 2020,1,1,0,0,0,1,1,0,440024000047
A+ Schools,428,City Charter High School,Pittsburgh,Pennsylvania,City Charter High School,No,,"City High has been a model of innovation in public education for over a decade in Pittsburgh. It's graduation rate in 2019 was 96%. It's 6 year college or trade school completion rate according to the school in 2019 was 59%. And its chronic absence rate was only 2% compared to an average of 46% chronic absence in Pittsburgh Public Schools in 2019-2020.   The school focuses on a few things well, and graduates scholars at a high rate. Key to its model are: 1. 4 year looping - all students stay with the same cohort of teachers all four years so that strong relationships are built 2. Real world skills training - the school prepares all students by providing each with a laptop of their own, certifications in all Microsoft Office applications, and financial literacy training in each year 3. Internships - all students participate in internships in a career area of curiosity and the school has built an impressive set of relationships with community partners, and 4. Investments in supports - the school does not maintain a library or have sports teams, instead it leverages the assets of the City's resources for students to access extracurricular activities with nonprofits and research at local libraries and colleges. This trade off allows the school to invest more deeply in counseling and supports for students.  You can read more about City High here: https://www.ourschoolspittsburgh.org/rising-up-city-high",Not sure,,"As an advocate for equity and excellence in education, A+ Schools has produced an annual Report to the Community on Public School Progress in Pittsburgh since 2004. City High has consistently demonstrated success with a student population that is approximately 70% low income and over 60% Black and Brown. It is a good school that serves Pittsburgh's children well.",Whole school looping. Real world internship experience.,November 2020,0,1,0,1,1,1,0,0,420009400663
A Revolution in Education,429,The Workshop School,Philadelphia,Pennsylvania,School District of Philadelphia,No,,"The mission of The Workshop School is to unleash the creative and intellectual potential of young people to solve the world's toughest problems. It is a project-based school that puts real-world problems at the center of the curriculum. There are no academic admission requirements. Students at The Workshop School are eager to explore interests and passions, willing to collaborate, and able to persist through challenges and setbacks.",Not sure,,I visited in Nov. '19 and was blown away!,student-focused lifting possibilities for youth in challenging contexts,November 2020,1,1,1,1,0,1,0,1,421899007548
A Revolution in Education,430,Building 21 Philadelphia,Philadelphia,Pennsylvania,School District of Philadelphia,No,,"They are ultra-focused on the well-being and agency of their youth, many of which are growing up in very challenging circumstances.  Focused on: - relationships - restorative practices - personalized learning pathways - project-based learning, and - growth mindset In the context of problem-based learning and real-world experiences wrapped around a competency-based learning and assessment system.",Not sure,,I visited the school in November '19 and was incredibly impressed with how they were focusing on the well-being of their youth inclusive of the development of their competencies.,"agency- and well-being oriented, supported through relationships and competencies",November 2020,1,1,1,1,0,1,0,0,421899007534
A Revolution in Education,431,The U School,Philadelphia,Pennsylvania,School District of Philadelphia,No,,"Students are engaged in real-world, community-based activities which support their learning in context driven by their interests.  Through this methodology they become empowered to consider what THEY want to do in the world and how they can do that.",Not sure,,"I visited this school in November '19 and talked with a number of educators and students. The students LOVED the school and were very engaged in their interest areas, producing a zine, taking social action, etc.","agency-oriented, learner-centered",November 2020,1,1,1,1,0,1,0,1,421899007547
Anonymous,432,Charles Page High School,Sand Springs,Oklahoma,Sand Springs,No,,Charles Page High School uses a blended model to allow students the flexibility to choose career pathways and gain firsthand experience within the community. Their model allows for students to maximize their time within the high school setting and creates student choice to engage learning at the highest level.,Yes,The flexibility already established within their blended model allowed for easy transitions to distance learning and still established strong relationships between students and community support.,First hand experience as they are a model for blended learning,"blended, community partnerships, career pathways",November 2020,0,0,0,0,0,0,1,0,402688001405
Education Evolving,433,The Urban Assembly School for Green Careers,New York City,New York,New York City Geographic District #3,No,,"The Urban Assembly School for Green Careers recognizes that overcoming our planet's environmental challenges is the biggest task facing the world today. We understand that as our economy becomes more green, many of the future's most promising careers will focus on solving the challenges of environmental injustice, and in ensuring equitable access to quality living and resources for all citizens. Our students will only be able to activate this mission if they are equipped with collaborative problem-solving and reasoning skills, empathy and awareness of how to interrupt injustice, and the knowledge of green industries and environmental issues. Therefore, we are committed to being a learning community dedicated to personal and community empowerment, college and career-readiness, and equity and access to and for our students, families and staff.",Not sure,,We have visited this school and worked with their team.,teacher-powered,November 2020,1,1,0,1,1,1,0,0,360007806148
NewSchools Venture Fund,434,Comp Sci.High,Bronx,New York,Urban Assembly Charter School For Computer Science,No,,"Comp Sci High combines the best of elements of so many different models.  It has elements of CTE and Computer Science, with a plan to provide almost every graduate with real industry certifications.  It has elements of work-based-learning, with a robust commitment to internships, personal finance, and wealth-building.  And, Comp Sci High's design incorporates weekly circles, intensive advisory communities, and in doing so, prioritizes SEL.  Most exciting of all, Comp Sci High sees these elements as deeply connected to a college preparatory academic model.",Yes,"It was open for two months, hosted 70% of its students in person, and didn't have a single COVID case. It's also provided parents with flexible choice to shift in and out of in-person instruction without ""locking in"" a choice at any particular point, allowing parents to slowly get comfortable sending kids to school.","I lead the school, but again, Miho at NewSchools encouraged me to complete this.",Network-building,November 2020,1,1,1,0,1,1,0,1,360118206634
Anonymous,435,Pelham Gardens Middle School,Bronx,New York,New York City Geographic District #11,No,,"Showing promising progress in piloting ""blended literacy"".",Not sure,,Invested in CommonLit to support Pelham to implement a blended literacy approach.,,November 2020,0,0,0,0,1,0,1,0,360008806322
Anonymous,436,PS 76 The Bennington School,Bronx,New York,New York City Geographic District #11,No,,They have should great progress and commitment to blended literacy.,Yes,Sticking with the blended literacy approach and the commitment to high quality.,Invested in Teaching Lab to support in PD aligned to a high quality curriculum.,,November 2020,0,0,0,1,0,0,1,0,360008802306
National Center for Special Education in Charter Schools,437,Community Roots Charter School,Brooklyn,New York,Community Roots Charter School,No,,"Community Roots puts emphasis on creating an inclusive learning community where both academic and social aspects of students' learning experience are fully accessible, while maintaining a standard of academic excellence for all students.",Yes,,From our work with them.,,November 2020,1,1,0,1,1,1,1,0,360015905898
Achievement Network,438,PS 206 Jose Celso Barbosa,New York,New York,New York City Geographic District #4,No,,"PS/MS 206 is deeply immersed in the process for working toward educational equity. They are utilizing an integrated approach to academic and social-emotional learning, which they have not only continued in the face of the ongoing COVID-19 pandemic, but they have also expanded their focus on SEL. They are working hard to unlearn old practices of systemic racism through mandatory professional learning for staff and the integration of equity-based discussion questions in all student-focused conversations, which allow them to work toward becoming anti racist. They are also invested in building teacher-leaders to sustain and expand the work of both anti-racism/educational equity as well as SEL, which is particularly exciting.",Yes,The school has expanded their approach to social-emotional learning in the face of COVID-19. Students previously attended an SEL class 3 times a week but now have a daily SEL class in order to ensure that staff are able to keep a pulse on the emotional well being of their students at one of the most stressful moments in their lives.,I wrote about PS/MS 206 and their integrated approach to academics and SEL through an anti-racist lens in a previous issue of my org's newsletter.,,November 2020,0,0,0,1,1,1,1,0,360007902694
Arkansas Team Digital,439,Jasper High School,Jasper,Arkansas,Jasper School District,No,,"Jasper High School is doing an excellent job of implementing a flex model of blended learning to meet students' needs. They give students voice and choice in their learning through instructional opportunities, both online and in-person. Their campus has provided students flexibility in their learning and has designated two days a week as flex days that allow for more targeted instruction. The alternating between face-to-face and online learning provides educators with more opportunities to meet the small group or individually for students in need. Each student is also provided a mentor who helps them determine pathways to reach their individual learning goals. This flexible model has been instrumental in the educational growth of their school.",Not sure,,This school is in my cooperative area.,,November 2020,1,0,0,1,0,0,1,1,050824000545
Diverse Charter Schools Coalition,440,The Museum School of Avondale Estates,Avondale Estates,Georgia,Dekalb County,No,,"The mission of The Museum School of Avondale Estates is to inspire students, teachers and the community to collaborate to develop strong critical thinking, interpersonal and academic skills in our students, which will prepare them for real-world success. The Museum School recently became members of the Diverse Charter Schools Coalition, expressing a desire to make their school more diverse, equitable, and inclusive. They have doubled their efforts in DEI work by, for example, launching a board of directors diversity committee and updating their strategic plan to include new initiatives such as the ones described here: https://themuseumschool.org/school-spotlight-diversity-inclusiveness-equity/",Yes,The Museum School has provided supplies and direct resources as well as supports for things like forming learning pods and seeking mental health help. They regularly communicate with families and engage families as they navigate Covid.,The Museum School is a member of Diverse Charter Schools Coalition.,,November 2020,1,1,0,1,0,1,0,0,130174004039
Branching Minds,441,Clearmont Elementary,Elk Grove Village,Illinois,Common Consolidated School District 59,No,,Clearmont Elementary School deserves recognition for their innovative efforts related to building community at their school. Not only did they have the highest ratings in their district on student perception ratings in the area of sense of belonging (80% of students feel that they are valued members of their school community) but they also showed positive growth in those ratings from 2018-2019 despite starting with such high ratings.  The Clearmont Staff put a great effort into building a welcoming community by ensuring each student could identify a staff member they feel connected to.,Not sure,,Branching Minds has partnered with this district for several years to support their MTSS practice,"School climate, sense of belonging, school connectedness, MTSS",November 2020,0,0,0,0,0,1,0,0,171377001711
Anonymous,442,Noblesville High School,Noblesville,Indiana,Noblesville Schools,No,,"As an early adopter of elearning in Indiana, Noblesville HS has innovated and adjusted to remote and hybrid learning environments in a way that has provided choice and relevance in trying times.  The existing offerings allow for students to achieve dual credits and take part in opportunities that set students up for success beyond their days in the HS building.  They deviate from the previously mandated traditional structure while maintaining traditional options for students and families that work best within that format.",Yes,"Options for students and families: students could choose to participate in a vendor supported credit bearing learning platform under supervision of an assigned school mentor, they could be in-person on a rotating schedule with a stagnant cohort of students, or they can participate synchronously from home with NHS teachers as well. This approach has allowed seamless transition for students who may have to quarantine due to illness or contact tracing. Blended learning and elearning were not new to NHS so the model is strengthened by the school's previous efforts to address equitable internet and technology access.","I work with their district admin team on statewide initiatives, I live in the community that is served by NHS, and I have a HS sophomore at NHS.",,November 2020,1,1,1,1,0,1,1,0,180765001309
The Mind Trust,443,Rooted School Indianapolis,Indianapolis,Indiana,none,No,,"Rooted School Indianapolis is a high school in Indianapolis with the mission to provide their students with personal pathways to financial freedom. Located in a high-poverty neighborhood, Rooted was founded to intentionally bring technology skills, exposure, and career opportunities to students who may not have had the opportunity to pursue those things.   Students engage in industry-focused project-based learning experiences designed by Rooted's teachers and industry partners. Projects are designed around specific community problems that students work to solve. Rooted recently formed a partnership with InnoPower, the Indianapolis Recorder (Indianapolis' historically Black newspaper) and Eleven Fifty Academy to improve exposure to careers in tech, and create a clear roadmap for Rooted students to pursue those careers.   Starting as early as 9th grade, Rooted students get hands-on experience with skills like coding, web design, pitching, project management, and more with projects that focus on solving problems they see or face in their own lives. Rooted is also building local partnerships to create internship opportunities for students.",Yes,"- During the summer, Rooted reach out to every family enrolled to check-in, not only on academics, but on personal needs (food, housing, health, social-emotional well-being). Their staff cared deeply about the holistic needs of their students and understood that so many other issues can affect a student's education. - Rooted carefully considered parent, teacher, and student needs and preferences before offering an in-person option in the fall. - Rooted has policies and procedures in place to protect their school community.","The Mind Trust supported the launch of Rooted Schools Indianapolis and their founder, Ma'at Lands.",Financial literacy,November 2020,0,1,0,1,1,1,0,1,
Camelback Ventures,444,PilotED Bethel Park,Indianapolis,Indiana,PilotED Schools,No,,"Jacob is an amazing leader. He is a true professional. After years of research on K-12 educational models across the country, pilotED embarked on a journey in 2019 to create a nationally standardized social studies curriculum that unearthed the true identities of this country's vast stories. From equity-centered social-emotional content to models of indigenous storytelling, their curriculum is unlike any other.  Their model is moving toward incorporating excellent aspects of Racial Identity Studies, â€‹Mental Wellness, Social Emotional Development, Social Identity Development, Gender Studies, Power & Privilege, and Rethinking Social Studies.",Not sure,,We were an early funder of PilotED and Jacob Allen's work.,,November 2020,1,0,1,1,1,1,0,0,180020202661
Anonymous,445,Lewisburg Elementary,Lewisburg,Kentucky,Logan County,No,,Lewisburg Elementary School has a laser focus on creating a learning environment that is learner-centered with equity for all kids and a vision to prepare students for what's next by creating a whole child model with a profile of a learner (including skills and dispositions in addition to academic content) at its core.,Yes,Lewisburg Elementary school had been participating in Kentucky's Non-Tradtitional Instruction (NTI) program (that is Kentucky's remote learning program which begin in 2011) for several years prior to COVID-19. They have expanded their already robust remote learning model during COVID-19 and have had high participation in the program during the pandemic.,"Lewisburg Elementary and Logan County Schools are members of the Kentucky Innovative Learning Network (KY ILN) which the Division of Innovation, of which I am Director, faciltates. https://education.ky.gov/school/innov/Pages/Innovation-Lab-Network.aspx",profile of a learner,November 2020,1,1,0,1,0,1,1,1,210354001545
Anonymous,446,Eminence High School,Eminence,Kentucky,Eminence Independent School District,No,,"Simply put, Eminence desires to be the Disney World of education. They want their students and teachers to have a ""Yes, and"" attitude that learning is the goal and any opportunity to creating a positive learning environment should be taken. They are the first school in Kentucky to have a set of graduate competencies (profile of a graduate. In addition, almost 100% of their junior and senior classes have half of their schedule occuring at a nearby university three days a week.",Yes,"Because Eminence High School was already established as a performance based culture with a 24/7 365 instructional design, it was rather seamless transition. All students were already fully vested in a learning management system. Their structure of teacher-student interactions during COVID-19 is particularly successful.",Eminence Schools are members of the Kentucky Innovative Learning Network (KY ILN) and Eminence was the first district in the state to be named a District of Innovation (Kentucky's Innovation Zone program).,,November 2020,1,1,1,1,1,1,1,0,210171000332
Anonymous,447,Mālama Honua Public Charter School,Waimanalo,Hawaii,Hawaii Department of Education,No,,"Culturally Relevant Assessment Community and Hawaiian focus ""Our founders, Nainoa Thompson and Robert Witt envisioned a school whose mission was to create leaders who embodied the attributes of The Mind of the Navigator and the values of the World Wide Voyage. Developing of the Mind of the Navigator will be achieved through place based, project based authentic learning experiences. Guided by our Core Values and keeping students at the core of our decision-making, we strive to develop learners who can set, plot, and successfully navigate the many voyages they will have in life while being grounded and confident in their cultural identity. We want our learners to persevere and know that if they take a wrong turn, they can right their waÊ»a and accomplish what they set out to do. We prioritize Ê»ohana and community involvement and strive to create a school where as a â€œvillageâ€ we lead, learn and act with compassion, continuously educating our selves while facilitating the education of our keiki.""   - from their website",No,,Charter School in our portfolio,Culturally Relevant Assessment Hawaiian culture Developing of the Mind of the Navigator,November 2020,0,1,0,0,0,0,1,0,150003000299
Anonymous,448,"Ke Kula ʻo Samuel M. Kamakau, LPCS",Kaneohe,Hawaii,Hawaii Department of Education,No,,"Culturally Relevant Assessments NÄ Ala Hoâ€˜okele (Guiding Principles) Ma o ka â€˜Ålelo Hawaiâ€˜i e ola ai nÄ iwi o nÄ kÅ«puna.  â€˜O ke Kumu Honua Mauli Ola ka pou hale o kÄkou. E lei â€˜ia ana nÄ â€˜ano aâ€˜o a pau i ka lanakila ma o ka â€˜ike kino. â€˜O nÄ â€˜ohana ke kula, ke kaiaulu nÄ kÅkoâ€˜okolu e kÄkoâ€˜o ai ka hale. Translation: The Hawaiian language is our foundation that enables us to honor our ancestors and perpetuate our traditions, The principles of Kumu Honua Mauli Ola, the Hawaiian Educational philosophy, form the support structure of our school. All learning styles will be supported so that our children will attain equitable success. Families, school and community are equal partners of our success.",Not sure,,They are a Charter School in our portfolio,"Hawaiian culture focus, Hawaiian medium instruction Culturally Relevant Assessments",November 2020,0,1,0,0,1,1,0,0,150003000276
Anonymous,449,"Ke Kula ʻo Nāwahīokalaniʻōpuʻu Iki, LPCS",Keaau,Hawaii,Hawaii Department of Education,No,,This is a Hawaiian medium school.  All instruction and business is conducted in the Hawaiian language.,No,,They are a Charter School in our portfolio,"Ua hoʻokumu ʻia Ke Kula ʻO Nāwahīokalaniʻōpuʻu ma luna o ke Kumu Honua Mauli Ola, ʻo ka pili ʻuhane ʻoe, ʻo ke aloha ʻohana ʻoe, ʻo ke aloha ʻōlelo ʻoe, ʻo ke aloha naʻauao ʻoe,ʻo ke aloha kānaka ʻoe, ʻo ke aloha ʻāina ʻoe, a ʻo ke aloha lāhui ʻoe. ʻO ka moʻomeheu Hawai’i ka paepae hoʻonaʻauao o Ke Kula ʻO Nāwahīokalaniʻōpuʻu, he paepae e kū ai ka hoʻohanohano ʻia o nā kūpuna, ka ʻimi a loaʻa o ka ʻike me ka mākaukau e pono ai ka ʻohana, ke ola me ka laupaʻi o ka ʻōlelo a moʻomeheu Hawai’i, a me ka nani o ka nohona o ka ʻāina nei ʻo Hawai’i. Translation: Ke Kula ʻO Nāwahīokalaniʻōpuʻu is committed to securing a school community built upon culturally rooted principles of the Kumu Honua Mauli Ola that reflect love of spirituality, love of family, love of language, love of knowledge, love of fellow man, love of land, and love of people. Students of Nāwahīokalaniʻōpuʻu are educated upon a culturally Hawaiian foundation. This foundation is the basis upon which students are motivated to: - Bring honor to anc...",November 2020,1,0,0,1,0,1,0,0,150003000284
Diverse Charter Schools Coalition,450,Lycée Français de la Nouvelle Orléans,New Orleans,Louisiana,Lycée Français de la Nouvelle Orléans,No,,"Lycee Francais is a french language immersion school and member of the Diverse Charter Schools Coalition. Just prior to Covid, they created a new strategic plan that centers DEI, diversifying the board, and recruiting a diverse group of teachers and students.",Yes,This website is particularly noteworthy: https://www.lfno.org/covid-19/#1586366340058-8e23918f-76f6,They are a member of the Diverse Charter Schools Coalition,,November 2020,0,0,1,0,1,1,0,0,220015902331
Diverse Charter Schools Coalition,451,Bricolage Academy,New Orleans,Louisiana,Bricolage Academy,No,,"Bricolage Academy's mission is to advance educational equity by preparing students from diverse backgrounds to be innovators who change the world. An early member of the Diverse Charter Schools Coalition, the word bricolage typically means a â€˜mash-up' or a creation from a diverse range of available things. DEI has been center to their model since inception, the school's ED and principal are both women of color, and they successfully enroll a diverse student body.",Yes,"In planning to re-open, Bricolage planned for a hyrbid model and quickly learned that students choosing to stay at home were generally from higher income families and students who chose to come to campus were generally from lower income families. The school quickly put plans in place to monitor this kind of data and intervene to ensure that students were interacting in a diverse setting.",They are a member of the Diverse Charter Schools Coalition.,,November 2020,1,0,1,0,1,1,0,0,220028902364
Great Schools Partnership,452,Nokomis High School,Newport,Maine,RSU 19,No,,Nokomis is a rural school with significant poverty who over the last 8 years has implemented a thoughtful proficiency-based learning system.  They are a model for how to transform a school through significant professional development for teachers with an unwavering focus and direction.,Not sure,,We provide coaching and support for this school,,November 2020,0,0,1,1,0,0,0,1,231478500729
Anonymous,453,Mattanawcook Junior High School,Lincoln,Maine,RSU 67,No,,"This school staff works to provide a safety net for students in their community by supporting all areas of student life in a variety of ways.  The guidance office has a closet of clothes, the physical education teacher has extra shoes and outside gear, the school has a food pantry, and staff work as a cohesive unit to help connect students and families to the resources they need.  During the holiday season, the staff takes the time to purchase items for families in need so all students get the chance to have a positive holiday experience.",Not sure,,Former teacher and now the district curriculum director,"compassion for all, every day is a new day",November 2020,0,0,0,1,0,1,0,0,231477700789
Anonymous,454,Ella Burr Elementary,Lincoln,Maine,RSU 67,No,,"This school has worked tirelessly to develop a response to intervention model where teachers make data based decisions to determine the instructional needs of students.  They then offer opportunities to support emotional health with a kindness celebration and other methods to remind students to always be kind to each other.  In normal years, they raise money for oil fund for families that need oil and provide food for families with an in-school food pantry.",Not sure,,Child attended,kindness and compassion,November 2020,1,0,0,0,0,0,0,0,231477700787
The Learning Accelerator,455,Uxbridge High School,Uxbridge,Massachusetts,Uxbridge School District,No,,The school has an extensive engineering program that provides application of STEM skills with career paths,Yes,Opened successfully with a hybrid learning model. Worked closely on reopening with the Parabola Project,Collaborated through the Parabola Project,CTE,November 2020,0,1,1,0,0,0,0,1,251185001938
Fielding International,456,High School for the Recording Arts,Saint Paul,Minnesota,High School for the Recording Arts,No,,"High School for Recording Arts starts with relationships. They understand that the students they serve have mostly had negative schools experiences and many live in adverse life conditions. They have a truly unique public-private partnership with Studio 4, a premier professional recording studio in the Midwest, to get kids excited to tell their stories and discover who they are through hip hop. The school is truly designed to meet the holistic needs of its students, with social & emotion learning and a commitment to equity at its core. Its for these reasons I am excited to nominate High School for Recording Arts to the Canopy Project.",Yes,"They deal with a largely low-income and transient population, so the freedoms they have had to allow for kids to come into school when they need it; to get the holistic support they need on time; to give deeper and longer opportunities to record music in Studio 4; all has helped to give them more flexibility to serve their students well.",We hold many community events together focused on reimagining education.,Public-Private Partnership #HipHopED,November 2020,1,1,1,1,1,1,1,0,270016002955
NACA Inspired Schools Network,457,"Dzil Ditl'ooi School of Empowerment, Action, and Perseverance (DEAP)",Navajo,New Mexico,Dzit Dit Lool School Of Empowerment Action And Perseverance,No,,"Dzil Ditl'ooi School of Empowerment, Action and Perseverance (DEAP) is a community-based, Common Core-aligned state charter school committed to improving academic and cultural achievement opportunities for Native youth. In Navajo, New Mexico where DEAP is located, the area is rich with Native history, culture, land, and natural water sources. The mission of DEAP is to help students develop a sense of place, tradition, and wellbeing, preparing and empowering youth to take action in transforming their community and the world around them. DEAP offers equitable and culturally relevant learning environments and instructional material; maintenance of DinÃ© (Navajo) language; and opportunities for engagement with the local community. DEAP provides a strong, Indigenous curricula designed to be culturally relevant for a 100% Navajo student body by drawing on the rich cultural and social resources in the community that are often absent from traditional schools. DEAP's educational model rebuilds student' relationships with their culture and sovereign status, helping students reclaim pride in their history and community. For example, DEAP's classroom climate includes coursework that is accompanied by experiential opportunities, such as 6th-9th grade students working through a traditional KinaaldÃ¡ rite of passage ceremony, celebrating the transition from child to adult within the tribe. Students work together in planting a community garden with traditional seeds and plants. The DinÃ© language is closely interwoven into academic and experiential activities. This promotes comprehensive, hands-on learning, encountering language's role in describing traditional activities, and studying the etymology of language over time (such as the influence of Spanish and English). Student learning opportunities are connected to real life, their culture, and their community through service orientated projects. At a macro-level, this establishes a school culture and environment that embraces its Indigenous roots as well as the strengths that are abundant within the community.",Not sure,,"DEAP is part of the NACA Inspired Schools Network (NISN), the nation’s first network of schools dedicated to Native American student success. DEAP was founded by NISN fellow, Kayla Begay.",culturally relevant,November 2020,1,1,0,0,1,1,0,0,350017401113
Education Resources Consortium,458,The Albuquerque Sign Language Academy,Albuquerque,New Mexico,ABQ Sign Language Academy,No,,"Integrated classes, innovative approaches to serving deaf and hard-of-hearing students side by side with ""regular"" education students, teacher training program, multiple partnerships to enhance learning opportunities, planning for a new high school that will employ unique and innovative structures and practices beyond the industrial model.",Not sure,,consultant,,November 2020,0,0,0,1,1,1,0,1,350012301066
Anonymous,459,Newport High School,Newport,New Hampshire,Newport School District,No,,What stands out for me is that they are in their 4th year of implementing a career related graduation requirement.,Not sure,,part of a project at NHLI,Career pathway development,November 2020,1,0,1,0,0,0,0,0,330531000342
Anonymous,460,Salem High School (NH),Salem,New Hampshire,Salem School District,No,,Their equitable approach to career opportunities for students. I am excited abotu their innovative work in ensuring that there are meaningful experiences with work prior to students graduating from Salem High School.,Not sure,,past work,"Career Pathway development , passion pursuits",November 2020,1,0,0,1,0,1,0,0,330606000407
Anonymous,461,Dixon School,Dixon,Montana,Dixon,No,,"This is a small, rural, PK-8 district near one of Montana's Indian Reservations.  Technology, community engagement, and smart use of data make this a highly effective school and a standout among Montana's rural schools.",Yes,Skillful transition to remote learning (when needed) and community engagement in planning for student services affected by COVID-19.,"Reputation of leader, school results, and active presence in social media that celebrates this school's success.","Compassionate, culturally responsive, student-centered",November 2020,1,1,1,1,1,1,1,0,
Minnesota Learner-Centered Network,462,Spring Grove School,Spring Grove,Minnesota,Spring Grove School District,No,,"Spring Grove stands out form other schools because the adults in the system are committed to and sustaining their focus on true innovation, instead of only improving the industrial model of education.  The leaders within this small K-12 school are creating the conditions for the teacher leaders to develop the agency to flip a conventional system on its head to become a student-centered learning environment. They are redefining the roles for students, teachers and positional leadership.  Students are invited to the governing table of the school. Students are co-creating their learning experience with the adults. Students have a voice and are given opportunities to develop their agency in their own learning journey. This small rural school is a power house of innovation and a model for other 'traditional' school districts!!",Yes,"In the summer of 2020, Spring Grove connected with every family and listened to their needs for safe education for their child(ren). Then a design of how learning will occur was created to fit the needs of the children and their families. They have ended up with many learning models (school in-person, outdoor classrooms, hybrid, all distance learning, off-campus in-person) that are running simultaneously. There is no one size fits all. This has proven to be sustainable as the Pandemic ebbs and flows. The collaboration and empathy demonstrated in this health crisis has centered on the needs of the students!!",MLCN member,"Competency-based Relevant Relationship focused / humanity Community connections Healthy, high-functioning collaborative culture",November 2020,0,1,1,1,0,0,1,1,
Minnesota Learner-Centered Network,463,Minnesota Center for Advanced Professional Studies,Lakeville,Minnesota,Prior Lake-Savage Area Schools,,"Students, grades 11 or 12, from 2 different school districts have the choice to enroll in MNCAPS as a part time student. MNCAPS has their own physical campus away separate from both high schools.","The MNCAPS choice extended to the 11th and 12th grade students, allows the learners to make authentic connections with mentors in a variety of professions. Students learn from seminars and 'teachers', as well as from experiences in the real world of the profession they are exploring. Students are involved in finding solutions to actual problems that come from real businesses and organizations they are connected to, through their mentor.  The skills they are learning are beyond the required state standards.  This setting increases the students' agency as a learner and provides many other skills, impacting their future.",Not sure,,MNCAPS has been an active member in the MLCN for the past 3 years.,"Student agency and ownership Relevant connected learning Anytime, anywhere learning Developing a positive identity",November 2020,1,1,1,0,0,1,0,0,
