nominator,school_id,school_name,school_city_n,school_state_n,school_district_n,nominator_reason_n
KnowledgeWorks,757,San Luis High School,San Luis,Arizona,Yuma Union High School District,"San Luis High School, one of six high schools in the Yuma Union High School District, serves 2551 students in the southwestern corner of Arizona, bordering Mexico. The school’s mission states: “Challenging students to think and learn for themselves.” The staff has implemented learner-centered practices and systems to make this mission a reality. The academic program provides multiple learning pathways that enable every learner to be college, career, and community ready on a personal path.  Learners track their data and regularly set goals during time designated across the campus. All teachers offer choice through Universal Design for Learning, allowing students options in how to access, engage, and demonstrate learning. Choice boards, multiple assessment opportunities, and collaboration in small groups based on data provide a just-right learning environment. The early shifts to standards-based grading are providing an equitable system of assessment and reporting. 

Agency is a natural outcome of the options at San Luis. Besides the conventional structures such as Student Council and National Honor Society, student voice is intentionally amplified through the principal’s Student Advisory group, where students are leading a positive campus culture. Students co-created school-wide standard operating procedures for campus issues like cell phone usage, hallways, etc., to ensure a safe, productive environment. The robust Career Technical Student Organizations provide a platform for leadership growth and demonstration of personal achievement through national competitions. Four of these clubs received the 2022 Gold Chapter of Distinction award based on student performance. Both inside and outside the classroom, every learner can choose to excel at San Luis High School. "
NewSchools Venture Fund,728,Seckinger High School,Buford,Georgia,Gwinnett County Public Schools,The focus on AI and future-ready skill development will ensure that students are prepared for what’s ahead. Seckinger will offer all students an opportunity to explore AI at levels to suit their level of interest.
Anonymous,349,Siembra Leadership High School,Albuquerque,New Mexico,Albuquerque Public Schools,"Uniquely designed on three pillars (learning by doing, community/industry engagement, and 360-degree student support"
National Indian Education Association,763,Skyline High School,Oakland,California,Oakland Unified School District,"Skyline High School hosts a Seven Generations Health Center. Operated by Native American Health Center, the health center emphasizes prevention, integrated care, and the removal of access barriers. It aims to improve adolescent health, well-being, and success in school by increasing access to comprehensive, high-quality health care services. Services offered are free and confidential to all Skyline students."
Big Picture Learning,350,SMASH (Santa Monica Alternative School House),Santa Monica,California,Santa Monica-Malibu Unified School District,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves."
4.0 Schools,190,Social Justice School,Washington,District of Columbia,Unsure,The Social Justice School uses culturally responsive design thinking and social justice to build learners into scholar-activists. There is a deep commitment to empower students to design a more just world.
NewSchools Venture Fund,190,Social Justice School,Washington,District of Columbia,N/A (single site charter),"Social Justice School uniquely blends rigorous academics, design thinking, with social justice learning expeditions."
NewSchools Venture Fund,351,Sojourner Truth Montessori School,Washington,District of Columbia,N/A (single site charter),"At The Sojourner Truth School, we are passionate about the education of the whole student.  We put just as much attention on personal development - task management, emotional wellness, self-monitoring - as we do on traditional academic development.  We have a rigorous, college prep curriculum, but want to make sure that our students graduate ready to succeed not just in college but in life."
NewSchools Venture Fund,729,Solar Preparatory School for Boys,Dallas,Texas,Dallas Independent School District,"Solar Preparatory School for Boys is an all boys campus that incorporates hands on experience in an environment that is conducive to the ways that boys learn.  We have a focus on developing intellectual, social, and emotional leadership skills in all of our boys."
NewSchools Venture Fund,191,Solar Preparatory School for Girls,Dallas,Texas,Dallas Independent School District,"Our vision is to prepare girls for success in a challenging, nurturing, and inclusive performance-based learning environment. "
Mastery Transcript Consortium,567,Springhouse Community School,Floyd,Virginia,N/A,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
Transcend,773,St. Benedict's Preparatory School,Newark,New Jersey,,"St. Benedict’s fosters a strong sense of community and takes a whole-child approach to support students to fulfill their potential. They create meaningful student leadership opportunities, social-emotional support systems, and community-building structures. "
Alliance for Catholic Education,659,St. Patrick Catholic School,Largo,Florida,,St. Patrick's is transforming its instructional core to be aligned with Blended Learning Practices.
NewSchools Venture Fund,195,Statesmen College Preparatory Academy for Boys PCS,Washington,District of Columbia,N/A (single site charter),"We are an identity-affirming, boy-smart and student-informed academic program designed to maximize academic engagement and wholistic personal development.  We capitalize on affirmation, earned autonomy, collaborative competition , structure, humor, movement, rigor and passion as drivers for learning."
Mastery Transcript Consortium,568,Swiftwater Alternative High School,Cle Elum,Washington,Cle Elum-Roslyn School District,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
Anonymous,741,Synergy at Fremont Middle School,Kuna,Idaho,Fremont Middle School; Kuna School District (School within a school),Problem based learning environment and school of choice within a traditional school.
The Center for Learner Equity,672,Tapestry Public Charter School,Atlanta,Georgia,"Tapestry School, INC.","Tapestry was founded eight years ago by parents of kids on the autism spectrum, and about half of the students enrolled in the school are students with disabilities. Students with disabilities and their neurotypical peers learn side by side in a fully-inclusive environment. The school utilizes technology to provide innovative and individualized education for all of its students."
Anonymous,359,Technology Leadership High School,Albuquerque,New Mexico,Albuquerque Public Schools,"Uniquely designed on three pillars (learning by doing, community/industry engagement, and 360-degree student support"
NewSchools Venture Fund,"3, 687","The Academy of Advanced Learning,Academy of Advanced Learning",Aurora,Colorado,Third Future Schools,"A team of dedicated teachers and leaders, working in a high performance and caring culture, maintains an intense focus on academic achievement and performance outcomes. Students find success and are engaged through personalized learning, which allows students to work at their own pace and learn in a way more suited to their strengths. We hold high expectations for students and staff and believe everyone can create their future."
Center on Reinventing Public Education,458,The Albuquerque Sign Language Academy,Albuquerque,New Mexico,State of New Mexico Public Education Commission,This school is not only serving a unique student population but is a communication school rewriting the structures of education. The bilingual ASL-English environment is one of a kind and they've partnered with the university to train educators to fit their community needs.
Mastery Transcript Consortium,540,The Delta School,Wilson,Arkansas,N/A,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
Mastery Transcript Consortium,466,The Forest School,Fayetteville,Georgia,N/A,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
NewSchools Venture Fund,730,The Genius School,Indianapolis,Indiana,N/A (single site charter),"We have also seen that despite and in spite of these challenges, our youth are still able to grow and achieve at high levels given the right people involved in the charge, a positive and demanding culture, an effective agenda, and an abundance of sacrifice and love. At The Genius School, we aspire to be the change we want to see in the community. Join us as we Ignite achievement and change throughout Indy, one scholar at a time!"
Transcend,617,The Innovation Center of St. Vrain Valley Schools,Longmont,Colorado,St. Vrain Valley Schools,"In 2012, St. Vrain applied and was awarded the Race to the Top Grant, supplementing traditional funding with an additional $16.6 million to implement STEM integration and personalized learning approaches. As part of this grant the Innovation Center was created to provide professional STEM experiences to students through industry partnerships and paid work for students. Currently, the Innovation Center offers 19 advanced courses and multiple industry-level professional certifications, and pays over 100 student designers for their work after school.

The Innovation Center provides advanced coursework, summer camps, internships, capstone projects, industry certifications, and mentorship. In providing real work for real pay, offering professional/technical certifications for advanced careers, and supporting the excellent coursework at each of our focus high schools, the Innovation Center (IC) offers a distinct and unique competitive advantage for the students who enroll."
NewSchools Venture Fund,752,The Leadership School,Black Jack,Missouri,The Leadership School,"The Leadership School exists to grow our students’ leadership capacity through earnest engagement in an academically rigorous, culturally relevant, and relationship-oriented environment. We are a new educational option that prepares students to be in the driver’s seat of their own learning and to navigate a path toward the lives they imagine for themselves."
Big Picture Learning,204,The Metropolitan Regional Career and Technical Center,Providence,Rhode Island,Providence Public School District,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves."
Big Picture Learning,205,The NET Charter High School: Gentilly,New Orleans,Louisiana,Orleans Parish School Board,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves."
Big Picture Learning,361,The Net: Central City,New Orleans,Louisiana,Orleans Parish School Board,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves."
Transcend,795,The Nueva School,San Mateo and Hillsborough campuses,California,,"They are a independent school for gifted learners and are 62% students of color. They use design thinking and PBL (partner with Stanfor'd dLab), lots of community and global service and sustainability intitiatives, deep social justice commitment, teacher prep pipeline, etc."
Transcend,782,The Primary School,East Palo Alto,California,,"The Primary School centers the whole-child so that all children, regardless of the barriers they face can overcome them and be prepared to learn. Their partner with parents, have comprehensive wraparound services and start early (several years before kindergarten). "
Mastery Transcript Consortium,569,The Sycamore School,Arlington,Virginia,N/A,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
NewSchools Venture Fund,734,THRIVE Community School,Santa Fe,New Mexico,THRIVE   Community School,THRIVE Community School is a K-8 public school with a specific focus on Social and Emotional Learning and STEAM Education. We build strong foundations and provide an experiential learning approach.
The Center for Learner Equity,411,Tomorrow's Leadership Collaborative (TLC) Charter,Orange,California,Orange County Department of Education,Universal accommodations and a co-teaching model are two of the essential elements for TLC's educational approach. All teachers receive professional development and on-going coaching and feedback related to their co-teaching practice. The school also offers accommodations to all as a general practice and provides specific services through push-ins to general education classrooms.
NewSchools Venture Fund,401,University Charter School,Livingston,Alabama,N/A (single site charter),"In partnership with the University of West Alabama, the UCS model embraces place-based education and immerses students in their local communities and uses the community as the foundation for study."
Fannie Lou Hamer Freedom High School,641,University Heights Secondary School - Bronx Community College,Bronx,New York,NYC DOE,An amazing school in poorest congressional district in the country that is a model of progressive education.
NewSchools Venture Fund,753,University High School,Memphis,Tennessee,Shelby County Schools,"University High School prepares a diverse body of students with the knowledge, skills, and mindsets needed to thrive in the 21st century global community, through innovative and inclusive practices, transformational partnerships, and equitable access to opportunities that lead to success in college and in life."
Transcend,770,UP Academy,San Mateo,California,,"UP Academy's methodology includes universal accommodations, a community framework, multi-sensory learning and a project based approach that works to build agency and develop important social emotional intelligence. "
Mindcatcher,731,URBAN ACT Academy,Indianapolis,Indiana,Indianapolis Public Schools,"Urban Act's educational model centers ""place-based"" instruction - students learning in connection with their community.  Place-based learning has resulted in greater academic and civic engagement,  awareness of local issues, increased student agency and strong relationships with community partners and neighbors. Nearly 100% of students have participated in a place-based service learning project. Additionally, identity affirmation is at the core of the school's culture. Educators prioritize celebrating student identity, relationship building, and JOY (justice, opportunity, and growth) as the foundation of their school culture design. The school's leadership also prioritizes team wellness in their professional development and the design of their school space. They even have a wellness room for team members to use for yoga, meditation, sleep, and other forms of rest. Their school culture is among the strongest I've observed in my 10+ years as an educator."
NewSchools Venture Fund,731,URBAN ACT Academy,Indianapolis,Indiana,Indianapolis Public Schools,"URBAN ACT Academy utilizes place-based instruction to meet scholars where they live.  Through place-based learning, students learn the skills and knowledge by studying their surroundings."
Rogers Family Foundation,212,Urban Montessori Charter School,Oakland,California,N/A,"Oakland's only tuition-free public Montessori school, TK-8. Multi-age classrooms, two teachers in every room, expanded learning opportunities, and an in-house Montessori training program creating a career ladder for existing staff."
Anonymous,640,Valor Preparatory Academy of Arizona,Pheonix area,Arizona,N/A,Innovating use of hybrid scheduling and intentional use of teachers and online content.
NewSchools Venture Fund,216,Valor Voyager Academy,Nashville,Tennessee,Valor Collegiate Academies,"We start by broadening the vision for education by placing human development at the core of our model. Ranked in the top 5% of Tennessee schools for growth and achievement since opening in 2014, we are proving that schools don’t have to compromise academic results for comprehensive human development. Relationships are central to everything we do – from academic curriculum to classroom management. At Valor, we are changing the approach to social-emotional learning… and it’s working. Education today is not only about acquiring content or knowledge but about actively engaging in our own holistic human development. Valor has created a human development model, Compass, and built our school model around it to ensure that all members of our community are engaging in deep, comprehensive development work."
Big Picture Learning,367,Vaux Big Picture High School,Philadelphia,Pennsylvania,The School District of Philadelphia,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves."
Clayton Christensen Institute,499,Village High School,Colorado Springs,Colorado,Academy District 20,"Village High School offers its core content instruction in an online, competency-based format so that students can have the time, place, path and pace of instruction tailored to their needs and so that the school has more time and capacity to offer an array of engaging non-core learning experiences aligned to the interests and passions of students and staff."
MiCoOp,651,Washington Middle School,Calumet,Michigan,"Public Schools of Calumet, Laurium & Keweenaw","Calumet Middle School started a Flex Lab in the 2022-23 school year. Every student has Flex Lab in their schedule right before and after lunch. During this time, students receive intervention or enrichment. Every teacher is also scheduled for Flex Lab before and after lunch. This gives students the opportunity to meet with any teacher during that time whether it’s for additional assistance or to go deeper. Enrichment options also include a maker space."
Anonymous,636,Waxpool Elementary,Ashburn,Virginia,Loudoun County Public Schools,"Waxpool Elementary staff and leadership meet regularly to collaborate and reflect on the learning experiences their students are engaged in. They seek to leverage the diversity of their school community as an asset and connect with their local community in authentic ways to ensure that school is authentic, relevant and meaningful to their students. They have operationalized their internal professional learning to be true communities of practice and established norms, expectations and structures that support teacher collaboration and professional practice. "
NewSchools Venture Fund,732,West Dallas STEM School,Dallas,Texas,Dallas Independent School District,"An integrated STEM education will prepare students from an early age for careers in high demand. By engaging students in hands-on activities such as robotics, experiments, and computer coding, students are using the skills and processes learned in science, technology, engineering and mathematics to think deeply, ask non-Googleable questions and solve problems."
Vermont Agency of Education,583,White River Valley Middle School,"Bethel, VT",Vermont,White River Valley Supervisory Union,"With the advent of the COVID-19 pandemic, schools across the country were forced to re-evaluate their priorities and restructure their operations to do their part in keeping students safe. For White River Valley Middle School, this meant shifting their classes from the traditional school building to a series of outdoor classrooms housed in tents across the campus and students sorted into “pods” with peers that shared similar schedules to minimize potential for cross-contamination. These were emergency measures, initially designed with only the immediate health and safety of students in mind. However, the opportunities to advance innovative educational strategies were not lost on school leadership. The shift to outdoor classrooms allowed for a flourishing of place-based curriculum, with students being encouraged to see the living world around them as a co-equal partner in their educational process. The reorganized pod structure created a new, small-group space where students could build relationships and adult mentors could give students more consistent attention.  
 

 We are moving into the endemic phase of COVID-19, and many of the emergency measures are beginning to subside. The tents that dotted the White River Valley Middle School campus are gone and students have returned to receiving instruction inside the school building, but that’s not to say things have returned to the way they were before. Students and teachers are still encouraged to look at learning with a place-based lens, students are still being taught to look at nature as a source for knowledge, and once a week students are still meeting with their pods to engage in restorative practices. In my eyes, this is the triumph of their leadership team. They were able to take the potential disruption of the pandemic and turn it into an opportunity to grow and strengthen."
NewSchools Venture Fund,733,Why Not You Academy,Midway,Washington,N/A (single site charter),"Family and community connection supports student engagement and success.
Staff and students commitment to community; being safe; being present; and being accountable to learning.
We believe all students should have a meaningful vision for life after high school and know that staff support achievement of that vision.
We practice and develop the knowledge, skills, and habits of mind for success in the 21st Century.   
We expect and support students to communicate effectively, work collaboratively to solve complex problems, and learn how to learn.
"
Mastery Transcript Consortium,681,Windham Woods School,Windham,New Hampshire,N/A,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
Barr Foundation,473,Winooski Middle High School,Winooski,Vermont,Winooski School District,"
Proficiency based learning
New Americans / Newcomer program
Learning beyond the school walls
iLab - personalized learning"
Vermont Agency of Education,473,Winooski Middle High School,Winooski,Vermont,Winooski School District,"The Winooski Middle High School (WMHS) is strengthening and innovating upon existing programming to boost its STEAM (Science, Technology, Engineering, Arts, and Math) access to all students. The WMHS Computer-Based Music-Making Program launched in 2021, driven by student interest. The Computer-Based Music Making Program is a class offered to students that allows them to create, record, and produce their own music or audio recordings using computer technology. Approximately 45% of WMHS students have resettled in Winooski through the refugee resettlement program. Among them, they speak around 20 languages, predominantly Swahili, Somali, French, and Nepali. For these students, music is a common language. For some Winooski students, who struggle academically, music has been an anchor, keeping them connected to the district and providing an outlet for their talent. Many students want to make music in their own languages or write songs that students can sing in class. This program has enabled students to express themselves and connect with other students, and the broader community and is an excellent way to be inclusive and provide equitable access to arts education.
 

 Additionally, Winooski’s promise to their community includes: 
 Students have voice and choice in their learning.  
 • Students are excited about the topics they are learning as they are tied to their interests and their futures. 
 • Learning is personalized and is relevant and meaningful to each student. 
 • Each student develops a personalized learning plan tailored to their needs, interests and passions. 
 • Students own their learning, are confident, and are willing to take on leadership roles. 
  
 The Winooski High School environment encourages student DISCOVERY and RETENTION of learning. 
 • Each student’s individual learning needs are supported. 
 • Students choose how they learn and how they demonstrate their learning. 
 • Students advance at their own pace, with guidance from their advisor. 
 • Students move toward graduation as they master each topic. 
 • Classes are small in size and enable teachers to engage and challenge each student’s learning style and ability. 
  
 Winooski High School is preparing students for SUCCESS in the 21st century. 
 • Through our GXs and GPs, students learn new transferable skills like communication, critical thinking, problem-solving and collaboration; essential skills that will help students work in ever-changing, diverse workplaces. 
 • Students study real-world topics through project-based learning which takes a topic a student is interested in and ties it with the skills the student needs to develop in particular areas, including math, science and English. 
 • Our schools’ diversity enables students to think globally, gain a deeper understanding of the world, and provides students with a unique leverage in achieving success in career and life. 
 • We focus on the whole student, mind, spirit and body and help students appreciate that wellness is something that they need and should carry on through life."
The Center for Learner Equity,476,Wish Community School,Los Angeles,California,Wish Community District,"WISH Charter School was founded and designed based on input from families of students with disabilities.  At WISH Charter School, teachers have a culture in which they would regularly observe one another’s classrooms to learn from their colleagues who were more advanced in the co-teaching strategies they were trying to learn. The school also partners with a higher education institution and is a  “research to practice” site for training teaching candidates. "
NewSchools Venture Fund,415,Yu Ming Charter School,Oakland,California,Yu Ming Charter Schools,"Yu Ming's Mandarin Immersion model consists of 4 pillars; academic excellence, Mandarin Immersion leadership, whole child education, and a diverse, equitable and inclusive community. We aim to make a world class bilingual education accessible to our diverse community."
NewSchools Venture Fund,738,Zeta Bronx Tremont Park Elementary,New York,New York,Zeta Charter Schools,"Zeta’s next-generation charter school model combines world-class academics with whole-child education, focused on social-emotional learning, mindfulness meditation, and rich specialty programming, including Zeta Innovation Lab, Sports, Taekwondo, Soccer, Dance, Music, Violin, Viola, Cello, and Chess. Zeta currently operates 4 charters across 6 campuses in the Bronx and Upper Manhattan, providing Pre-K through 5th grade, and, in 2023-24, we will open our first middle schools, starting with 6th grade. Each Zeta school will grow to serve students in Pre-K through 12th grade."
NewSchools Venture Fund,748,Zeta Inwood,New York,New York,Zeta Charter Schools,"Zeta’s next-generation charter school model combines world-class academics with whole-child education, focused on social-emotional learning, mindfulness meditation, and rich specialty programming, including Zeta Innovation Lab, Sports, Taekwondo, Soccer, Dance, Music, Violin, Viola, Cello, and Chess. Zeta currently operates 4 charters across 6 campuses in the Bronx and Upper Manhattan, providing Pre-K through 5th grade, and, in 2023-24, we will open our first middle schools, starting with 6th grade. Each Zeta school will grow to serve students in Pre-K through 12th grade."
NewSchools Venture Fund,749,Zeta Mount Eden,New York,New York,Zeta Charter Schools,"Zeta’s next-generation charter school model combines world-class academics with whole-child education, focused on social-emotional learning, mindfulness meditation, and rich specialty programming, including Zeta Innovation Lab, Sports, Taekwondo, Soccer, Dance, Music, Violin, Viola, Cello, and Chess. Zeta currently operates 4 charters across 6 campuses in the Bronx and Upper Manhattan, providing Pre-K through 5th grade, and, in 2023-24, we will open our first middle schools, starting with 6th grade. Each Zeta school will grow to serve students in Pre-K through 12th grade."
Future Focused Education,758,Zuni High School,Zuni Pueblo,New Mexico,Zuni Public Schools,"In an effort to sustain their core values and language, the Zuni Public School District established themselves as independent from the larger, neighboring district in the 1980's. Zuni High School has committed to continue efforts to sustain the language and culture of the community. To do so, they have developed a graduate profile, a community-centered capstone culminating project and assessment, and are shifting to culturally relevant and sustaining competency-based teaching and grading practices. "
