Variable Name,Variable Description,Corresponding Survey Question,Response Types,Source,Data Subset,Clean Labels,Confidential
time_competency_education,Indicates the length of time the learning environment has been implementing the core practice competency/mastery-based education.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,competency/mastery-based education,Public-facing
time_competency_framework,Indicates the length of time the learning environment has been implementing the core practice competency framework.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,competency framework,Public-facing
time_culturally_responsive,Indicates the length of time the learning environment has been implementing the core practice culturally responsive practices.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,culturally responsive practices,Public-facing
time_design_marginalized,Indicates the length of time the learning environment has been implementing the core practice design to meet needs of students who have been marginalized.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,design to meet needs of students who have been marginalized,Public-facing
time_design_thinking,Indicates the length of time the learning environment has been implementing the core practice design thinking process.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,design thinking process,Public-facing
time_disaggregated_participation_data,Indicates the length of time the learning environment has been implementing the core practice disaggregated data on student participation.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,disaggregated data on student participation,Public-facing
time_dual_language,Indicates the length of time the learning environment has been implementing the core practice dual language programming.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,dual language programming,Public-facing
time_early_college,Indicates the length of time the learning environment has been implementing the core practice early college high school.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,early college high school,Public-facing
time_enriched_virtual,Indicates the length of time the learning environment has been implementing the core practice enriched virtual model.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,enriched virtual model,Public-facing
time_expanded_open_hours,Indicates the length of time the learning environment has been implementing the core practice expanded open hours.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,expanded open hours,Public-facing
time_extended_learning,Indicates the length of time the learning environment has been implementing the core practice extended learning opportunities.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,extended learning opportunities,Public-facing
time_flex,Indicates the length of time the learning environment has been implementing the core practice flex model.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,flex model,Public-facing
time_flexible_facilities,Indicates the length of time the learning environment has been implementing the core practice flexible facilities & classroom design.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,flexible facilities & classroom design,Public-facing
time_flexible_staffing,Indicates the length of time the learning environment has been implementing the core practice flexible staffing & alternative teaching roles.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,flexible staffing & alternative teaching roles,Public-facing
time_flipped_classroom,Indicates the length of time the learning environment has been implementing the core practice flipped classroom.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,flipped classroom,Public-facing
time_grading_mastery,Indicates the length of time the learning environment has been implementing the core practice grading policies focus on mastery.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,grading policies focus on mastery,Public-facing
time_heritage,Indicates the length of time the learning environment has been implementing the core practice heritage language courses.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,heritage language course(s),Public-facing
time_hiring_equity,Indicates the length of time the learning environment has been implementing the core practice hiring for equity and inclusion values.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,hiring for equity and inclusion values,Public-facing
time_inclusion,Indicates the length of time the learning environment has been implementing the core practice all courses designed for inclusion.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,all courses designed for inclusion,Public-facing
time_industry_credentials,Indicates the length of time the learning environment has been implementing the core practice students earn industry credentials.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,students earn industry credentials,Public-facing
time_interdisciplinary,Indicates the length of time the learning environment has been implementing the core practice interdisciplinary.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,interdisciplinary,Public-facing
time_interoperability,Indicates the length of time the learning environment has been implementing the core practice hiring for interoperable data from multiple technologies.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,interoperable data from multiple technologies,Public-facing
time_learner_profiles,Indicates the length of time the learning environment has been implementing the core practice individual learning paths.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,individual learning paths,Public-facing
time_learning_paths,Indicates the length of time the learning environment has been implementing the core practice individual learning profiles.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,individual learner profiles,Public-facing
time_makerspace,Indicates the length of time the learning environment has been implementing the core practice makerspace.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,makerspace,Public-facing
time_mental_health,Indicates the length of time the learning environment has been implementing the core practice mental health.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,mental health services,Public-facing
time_mentoring,Indicates the length of time the learning environment has been implementing the core practice 1:1 mentoring.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,1:1 mentoring,Public-facing
time_mtss_academics,Indicates the length of time the learning environment has been implementing the core practice multi-tiered systems of support (MTSS) in academics.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,multi-tiered system of support (MTSS) in academics,Public-facing
time_multi_age,Indicates the length of time the learning environment has been implementing the core practice multi-age classrooms.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,multi-age classrooms,Public-facing
time_no_tracking,Indicates the length of time the learning environment has been implementing the core practice no tracked classes.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,no tracked classes,Public-facing
time_opportunities_mastery,Indicates the length of time the learning environment has been implementing the core practice multiple opportunities to demonstrate mastery.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,multiple opportunities to demonstrate mastery,Public-facing
time_pbl,Indicates the length of time the learning environment has been implementing the core practice project-based learning.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,project-based learning,Public-facing
time_peer_to_peer,Indicates the length of time the learning environment has been implementing the core practice peer to peer support.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,peer to peer support,Public-facing
time_performance_assessment,Indicates the length of time the learning environment has been implementing the core practice performance based assessment.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,performance based assessment,Public-facing
time_physical_well_being,Indicates the length of time the learning environment has been implementing the core practice physical well-being services.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,physical well being services,Public-facing
time_place_based,Indicates the length of time the learning environment has been implementing the core practice place-based learning.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,place-based learning,Public-facing
time_reallocation_resources,Indicates the length of time the learning environment has been implementing the core practice reallocation of resources for those most in need.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,reallocation of resources for those most in need,Public-facing
time_restorative,Indicates the length of time the learning environment has been implementing the core practice restorative practices.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,restorative practices,Public-facing
time_sel_curriculum,Indicates the length of time the learning environment has been implementing the core practice SEL curriculum.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,SEL curriculum,Public-facing
time_sel_integrated,Indicates the length of time the learning environment has been implementing the core practice SEL integration school-wide.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,SEL integration school-wide,Public-facing
time_service_learning,Indicates the length of time the learning environment has been implementing the core practice service learning.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,service learning,Public-facing
time_social_justice,Indicates the length of time the learning environment has been implementing the core practice social justice focus.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,social justice focus,Public-facing
time_station_rotation,Indicates the length of time the learning environment has been implementing the core practice station rotation.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,station rotation,Public-facing
time_student_conferences,Indicates the length of time the learning environment has been implementing the core practice student-led conferences.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,student-led conferences,Public-facing
time_student_data,Indicates the length of time the learning environment has been implementing the core practice students access their own data.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,students access their own data,Public-facing
time_student_goals,Indicates the length of time the learning environment has been implementing the core practice student-led goal setting.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,student-led goal setting,Public-facing
time_student_pace,Indicates the length of time the learning environment has been implementing the core practice self-paced learning.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,self-paced learning,Public-facing
time_student_projects,Indicates the length of time the learning environment has been implementing the core practice students develop projects.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,students develop projects,Public-facing
time_translanguaging,Indicates the length of time the learning environment has been implementing the core practice translanguaging.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,translanguaging,Public-facing
time_trauma_informed,Indicates the length of time the learning environment has been implementing the core practice trauma-informed practices.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,trauma-informed practices,Public-facing
time_tutoring,Indicates the length of time the learning environment has been implementing the core practice tutoring.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,tutoring,Public-facing
time_udl,Indicates the length of time the learning environment has been implementing the core practice universal design for learning.,How long has your learning environment been implementing each of these core practices?,"Less than a year
1-2 years
3-4 years
5+ years
Not sure",School survey,Tags,universal design for learning,Public-facing
pilot_a_la_carte,Indicates the learning environment plans to implement à la carte in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,à la carte model,Public-facing
pilot_accommodations,Indicates the learning environment plans to implement accommodations provided to all students in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,accommodations provided to all students,Public-facing
pilot_adult_wellness,Indicates the learning environment plans to implement adult wellness/SEL in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,adult wellness/SEL,Public-facing
pilot_advancement_mastery,Indicates the learning environment plans to implement advancement on mastery in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,advancement on mastery,Public-facing
pilot_advisories,Indicates the learning environment plans to implement student advisories in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,student advisories,Public-facing
pilot_anti_racist,Indicates the learning environment plans to implement anti-racist practices in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,anti-racist practices,Public-facing
pilot_assessments_agency,Indicates the learning environment plans to implement assessments for agency and self-directed learning in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,assessments for agency and self-directed learning,Public-facing
pilot_assessments_bilingual,Indicates the learning environment plans to implement bilingual assessments in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,bilingual assessments,Public-facing
pilot_assessments_career,Indicates the learning environment plans to implement assessments for career readiness in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,assessments for career readiness,Public-facing
pilot_assessments_deeper,Indicates the learning environment plans to implement assessments for deeper learning in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,assessments for deeper learning,Public-facing
pilot_assessments_sel,Indicates the learning environment plans to implement assessments for social-emotional learning in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,assessments for social-emotional skills,Public-facing
pilot_blended_learning,Indicates the learning environment plans to implement blended learning in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,blended learning,Public-facing
pilot_career_prep,Indicates the learning environment plans to implement career prep and work-based learning in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,career prep and work-based learning,Public-facing
pilot_colead_cbo,Indicates the learning environment plans to implement community-based organizations as co-leaders in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,community-based organizations as co-leaders,Public-facing
pilot_colead_family,Indicates the learning environment plans to implement families as co-leaders in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,families as co-leaders,Public-facing
pilot_colead_industry,Indicates the learning environment plans to implement industry-based partners as co-leaders in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,industry-based partners as co-leaders,Public-facing
pilot_colead_students,Indicates the learning environment plans to implement students as co-leaders in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,students as co-leaders,Public-facing
pilot_colead_teachers,Indicates the learning environment plans to implement teachers as co-leaders in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,teachers as co-leaders,Public-facing
pilot_coleadership,Indicates the learning environment plans to implement co-leadership in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,co-leadership,Public-facing
pilot_community_partnerships,Indicates the learning environment plans to implement community and business partnerships in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,community and business partnerships,Public-facing
pilot_community_supports,Indicates the learning environment plans to implement family and community support services in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,family and community support services,Public-facing
pilot_competency_education,Indicates the learning environment plans to implement competency/mastery-based education in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,competency/mastery-based education,Public-facing
pilot_competency_framework,Indicates the learning environment plans to implement competency framework in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,competency framework,Public-facing
pilot_culturally_responsive,Indicates the learning environment plans to implement culturally responsive practices in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,culturally responsive practices,Public-facing
pilot_design_marginalized,Indicates the learning environment plans to implement design to meet needs of students who have been marginalized in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,design to meet needs of students who have been marginalized,Public-facing
pilot_design_thinking,Indicates the learning environment plans to implement design thinking process in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,design thinking process,Public-facing
pilot_disaggregated_participation_data,Indicates the learning environment plans to implement disaggregated data on student participation in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,disaggregated data on student participation,Public-facing
pilot_dual_language,Indicates the learning environment plans to implement dual language programming in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,dual language programming,Public-facing
pilot_early_college,Indicates the learning environment plans to implement early college high school in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,early college high school,Public-facing
pilot_enriched_virtual,Indicates the learning environment plans to implement enriched virtual model in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,enriched virtual model,Public-facing
pilot_expanded_open_hours,Indicates the learning environment plans to implement expanded open hours in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,expanded open hours,Public-facing
pilot_extended_learning,Indicates the learning environment plans to implement extended learning opportunities in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,extended learning opportunities,Public-facing
pilot_flex,Indicates the learning environment plans to implement flex model in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,flex model,Public-facing
pilot_flexible_facilities,Indicates the learning environment plans to implement flexible facilities & classroom design in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,flexible facilities & classroom design,Public-facing
pilot_flexible_staffing,Indicates the learning environment plans to implement flexible staffing & alternative teaching roles in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,flexible staffing & alternative teaching roles,Public-facing
pilot_flipped_classroom,Indicates the learning environment plans to implement flipped classroom in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,flipped classroom,Public-facing
pilot_grading_mastery,Indicates the learning environment plans to implement grading policies focus on mastery in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,grading policies focus on mastery,Public-facing
pilot_heritage,Indicates the learning environment plans to implement heritage language courses in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,heritage language course(s),Public-facing
pilot_hiring_equity,Indicates the learning environment plans to implement hiring for equity and inclusion values in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,hiring for equity and inclusion values,Public-facing
pilot_inclusion,Indicates the learning environment plans to implement all courses designed for inclusion in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,all courses designed for inclusion,Public-facing
pilot_industry_credentials,Indicates the learning environment plans to implement students earn industry credentials in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,students earn industry credentials,Public-facing
pilot_interdisciplinary,Indicates the learning environment plans to implement interdisciplinary in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,interdisciplinary,Public-facing
pilot_interoperability,Indicates the learning environment plans to implement hiring for interoperable data from multiple technologies in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,interoperable data from multiple technologies,Public-facing
pilot_learner_profiles,Indicates the learning environment plans to implement individual learning paths in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,individual learning paths,Public-facing
pilot_learning_paths,Indicates the learning environment plans to implement individual learning profiles in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,individual learner profiles,Public-facing
pilot_makerspace,Indicates the learning environment plans to implement makerspace in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,makerspace,Public-facing
pilot_mental_health,Indicates the learning environment plans to implement mental health in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,mental health services,Public-facing
pilot_mentoring,Indicates the learning environment plans to implement 1:1 mentoring in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,1:1 mentoring,Public-facing
pilot_mtss_academics,Indicates the learning environment plans to implement multi-tiered systems of support (MTSS) in academics in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,multi-tiered system of support (MTSS) in academics,Public-facing
pilot_multi_age,Indicates the learning environment plans to implement multi-age classrooms in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,multi-age classrooms,Public-facing
pilot_no_tracking,Indicates the learning environment plans to implement no tracked classes in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,no tracked classes,Public-facing
pilot_opportunities_mastery,Indicates the learning environment plans to implement multiple opportunities to demonstrate mastery in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,multiple opportunities to demonstrate mastery,Public-facing
pilot_pbl,Indicates the learning environment plans to implement project-based learning in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,project-based learning,Public-facing
pilot_peer_to_peer,Indicates the learning environment plans to implement peer to peer support in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,peer to peer support,Public-facing
pilot_performance_assessment,Indicates the learning environment plans to implement performance based assessment in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,performance based assessment,Public-facing
pilot_physical_well_being,Indicates the learning environment plans to implement physical well-being services in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,physical well being services,Public-facing
pilot_place_based,Indicates the learning environment plans to implement place-based learning in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,place-based learning,Public-facing
pilot_reallocation_resources,Indicates the learning environment plans to implement reallocation of resources for those most in need in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,reallocation of resources for those most in need,Public-facing
pilot_restorative,Indicates the learning environment plans to implement restorative practices in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,restorative practices,Public-facing
pilot_sel_curriculum,Indicates the learning environment plans to implement SEL curriculum in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,SEL curriculum,Public-facing
pilot_sel_integrated,Indicates the learning environment plans to implement SEL integration school-wide in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,SEL integration school-wide,Public-facing
pilot_service_learning,Indicates the learning environment plans to implement service learning in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,service learning,Public-facing
pilot_social_justice,Indicates the learning environment plans to implement social justice focus in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,social justice focus,Public-facing
pilot_station_rotation,Indicates the learning environment plans to implement station rotation in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,station rotation,Public-facing
pilot_student_conferences,Indicates the learning environment plans to implement student-led conferences in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,student-led conferences,Public-facing
pilot_student_data,Indicates the learning environment plans to implement students access their own data in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,students access their own data,Public-facing
pilot_student_goals,Indicates the learning environment plans to implement student-led goal setting in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,student-led goal setting,Public-facing
pilot_student_pace,Indicates the learning environment plans to implement self-paced learning in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,self-paced learning,Public-facing
pilot_student_projects,Indicates the learning environment plans to implement students develop projects in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,students develop projects,Public-facing
pilot_translanguaging,Indicates the learning environment plans to implement translanguaging in the next five years.,"Of all the practices you didn’t select on the previous page, are there practices you are planning to implement school- or site-wide in the next five years?",1 if Yes; else 0,School survey,Tags,translanguaging,Public-facing
